id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3132,29679,0,3132,Folarin Balogun,FWD,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,39913.333333333336,0.0,0.0,-9003.0,852.6666666666666,9855.666666666666,0.0,2.0,1.0,2.3333333333333335
2,0,False,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,840,39333,3081,2241,Cédric Alves Soares,DEF,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,35514.0,0.0,0.0,-342.3333333333333,2177.3333333333335,2519.6666666666665,0.0,2.0,1.0,2.3333333333333335
3,0,False,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,617,7959,1243,626,Mohamed Elneny,MID,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,7047.666666666667,0.0,0.0,-727.6666666666666,253.0,980.6666666666666,0.0,2.0,1.0,2.3333333333333335
4,1,False,14,7,14,0,0,0,0,0,0,0,0,0,0,0,2,4.4,16.0,0.0,2.0,54,130,14358,2573,2443,Fábio Ferreira Vieira,MID,Arsenal,Bournemouth,2023-24,4,0,3,0.3333333333333333,0.0,7.0,0.3333333333333333,8.4,0.3333333333333333,0.0,2.533333333333333,6.066666666666666,45.666666666666664,0.0,0,0,0.0,0.0,12745.333333333334,11.0,2.6666666666666665,850.0,1887.3333333333333,1037.3333333333333,0.0,2.0,1.0,2.3333333333333335
5,6,False,14,7,90,0,0,1,0,0,0,0,0,0,0,0,25,24.8,0.3,0.0,2.5,47,-21721,1281517,54236,75957,Gabriel dos Santos Magalhães,DEF,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,16.666666666666668,0.3333333333333333,2.6999999999999997,1.0,0.0,2.1666666666666665,16.2,90.0,0.0,0,0,0.0,0.0,1365836.3333333333,2.6666666666666665,2.6666666666666665,-262203.6666666667,22619.333333333332,284823.0,0.3333333333333333,2.0,1.0,2.3333333333333335
6,7,False,14,7,80,1,0,1,0,0,0,0,1,0,0,0,18,39.6,3.5,26.0,6.9,71,-11888,170271,4545,16433,Kai Havertz,MID,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,2.6666666666666665,0.0,4.766666666666667,0.6666666666666666,0.0,1.8666666666666665,5.133333333333334,43.666666666666664,0.0,0,0,0.0,0.0,201937.33333333334,8.666666666666666,1.0,-46281.333333333336,2036.6666666666667,48318.0,0.3333333333333333,2.0,1.0,2.3333333333333335
8,5,False,14,7,90,0,1,1,0,0,0,0,0,0,0,0,20,9.4,35.2,20.0,6.5,80,61954,408882,92182,30228,Gabriel Fernando de Jesus,FWD,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.6666666666666666,8.333333333333334,0.0,4.733333333333333,0.6666666666666666,0.3333333333333333,3.9000000000000004,15.200000000000001,38.0,0.0,0,0,0.0,0.0,255596.0,19.333333333333332,3.0,51108.666666666664,75116.66666666667,24008.0,0.3333333333333333,2.0,1.0,2.3333333333333335
9,1,False,14,7,9,0,0,0,0,0,0,0,0,0,0,0,3,4.0,1.3,0.0,0.5,54,280,18830,1240,960,Jorge Luiz Frello Filho,MID,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,0.6666666666666666,0.0,0.5333333333333333,0.3333333333333333,0.0,0.2333333333333333,1.866666666666667,15.333333333333334,0.0,0,0,0.0,0.0,18398.0,0.0,0.6666666666666666,-1180.3333333333333,360.6666666666667,1541.0,0.0,2.0,1.0,2.3333333333333335
10,0,False,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-233,9083,262,495,Jakub Kiwior,DEF,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,9448.333333333334,0.0,0.0,-320.0,406.3333333333333,726.3333333333334,0.0,2.0,1.0,2.3333333333333335
11,0,False,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-295,5453,0,295,Marcus Oliveira Alencar,MID,Arsenal,Bournemouth,2023-24,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,6241.333333333333,0.0,0.0,-829.3333333333334,0.0,829.3333333333334,0.0,2.0,1.0,2.3333333333333335
