id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,True,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4527,32878,0,4527,Folarin Balogun,FWD,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,48323.666666666664,0.0,0.0,-10054.666666666666,1688.3333333333333,11743.0,0.0,2.0,1.0,2.3333333333333335
2,0,True,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,560,37398,2493,1933,Cédric Alves Soares,DEF,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,34425.0,0.0,0.0,-1290.3333333333333,1859.0,3149.3333333333335,0.0,2.0,1.0,2.3333333333333335
3,0,True,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-69,6914,449,518,Mohamed Elneny,MID,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7683.666666666667,0.0,0.0,-598.0,1040.6666666666667,1638.6666666666667,0.0,2.0,1.0,2.3333333333333335
4,1,True,13,6,45,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.3,4.0,0.5,54,818,14006,1881,1063,Fábio Ferreira Vieira,MID,Arsenal,Spurs,2023-24,2,2,1,1.0,0.0,14.333333333333334,0.3333333333333333,13.066666666666668,0.3333333333333333,0.0,4.466666666666667,13.733333333333334,42.0,0.0,0.0,0,0.0,0.0,11185.0,18.0,4.666666666666667,114.0,1321.3333333333333,1207.3333333333333,0.0,2.0,1.0,2.3333333333333335
5,1,True,13,6,90,0,0,0,2,0,0,0,0,0,0,0,11,7.8,1.7,8.0,1.8,48,-62499,1293725,21035,83534,Gabriel dos Santos Magalhães,DEF,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,13.0,0.3333333333333333,2.1333333333333333,0.3333333333333333,0.0,1.5666666666666664,13.6,60.0,0.0,0.0,0,0.0,0.0,1614651.3333333333,0.0,2.3333333333333335,-448509.6666666667,27655.0,476164.6666666667,0.3333333333333333,2.0,1.0,2.3333333333333335
6,0,True,13,6,45,0,0,0,1,0,0,0,1,0,0,0,-1,5.2,1.7,3.0,1.0,72,-18641,180502,1928,20569,Kai Havertz,MID,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,3.6666666666666665,0.0,12.066666666666668,0.6666666666666666,0.0,2.9333333333333336,5.2,47.0,0.0,0.0,0,0.0,0.0,244450.66666666666,12.0,1.3333333333333333,-65674.66666666667,3253.0,68927.66666666667,0.0,2.0,1.0,2.3333333333333335
8,2,True,13,6,76,0,0,0,2,0,0,0,0,0,0,0,1,9.6,2.6,33.0,4.5,79,21494,322860,55836,34342,Gabriel Fernando de Jesus,FWD,Arsenal,Spurs,2023-24,2,2,1,0.0,0.6666666666666666,8.333333333333334,0.0,3.966666666666667,0.0,0.3333333333333333,3.6666666666666665,13.0,13.0,0.0,0.0,0,0.0,0.0,186161.33333333334,20.0,2.6666666666666665,37076.666666666664,59472.333333333336,22395.666666666668,0.3333333333333333,2.0,1.0,2.3333333333333335
9,1,True,13,6,45,0,0,0,1,0,0,0,0,0,0,0,-1,5.4,1.6,0.0,0.7,54,-647,18080,260,907,Jorge Luiz Frello Filho,MID,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,2.3333333333333335,0.0,2.2333333333333334,0.3333333333333333,0.0,0.3666666666666667,1.4666666666666668,2.3333333333333335,0.0,0.0,0,0.0,0.0,18826.666666666668,0.0,0.6666666666666666,-1593.6666666666667,491.3333333333333,2085.0,0.0,2.0,1.0,2.3333333333333335
10,0,True,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-444,9209,106,550,Jakub Kiwior,DEF,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,3.6666666666666665,0.0,1.5666666666666667,0.6666666666666666,0.0,1.1666666666666667,5.333333333333333,30.0,0.0,0.0,0,0.0,0.0,9432.0,4.666666666666667,0.3333333333333333,-424.6666666666667,481.6666666666667,906.3333333333334,0.0,2.0,1.0,2.3333333333333335
11,0,True,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-326,5759,0,326,Marcus Oliveira Alencar,MID,Arsenal,Spurs,2023-24,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7022.666666666667,0.0,0.0,-1689.6666666666667,0.0,1689.6666666666667,0.0,2.0,1.0,2.3333333333333335
