id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-268,21188,0,268,Folarin Balogun,FWD,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21805.333333333332,0.0,0.0,-311.6666666666667,0.0,311.6666666666667,0.0,2.0,1.3333333333333333,2.0
2,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-631,44095,632,1263,Cédric Alves Soares,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44583.0,0.0,0.0,-271.0,1115.6666666666667,1386.6666666666667,0.0,2.0,1.3333333333333333,2.0
3,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-534,8641,21,555,Mohamed Elneny,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9658.0,0.0,0.0,-413.3333333333333,158.33333333333334,571.6666666666666,0.0,2.0,1.3333333333333333,2.0
4,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-176,9093,4,180,Fábio Ferreira Vieira,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9512.666666666666,0.0,0.0,-251.0,19.0,270.0,0.0,2.0,1.3333333333333333,2.0
5,10,False,17,18,90,1,0,0,1,0,0,0,0,0,0,2,25,56.0,0.2,17.0,7.3,49,-16778,1567349,14519,31297,Gabriel dos Santos Magalhães,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,18.0,0.3333333333333333,5.866666666666667,1.3333333333333333,0.0,3.0666666666666664,17.733333333333334,90.0,0,0.0,0.0,0.0,0.0,1617494.0,7.0,3.0,-15830.0,25763.333333333332,41593.333333333336,0.0,2.0,1.3333333333333333,2.0
6,1,False,17,18,90,0,0,0,1,0,0,0,1,0,0,0,2,2.2,5.3,8.0,1.6,71,6037,182893,9035,2998,Kai Havertz,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,18.333333333333332,0.3333333333333333,23.633333333333336,1.3333333333333333,0.6666666666666666,7.966666666666666,26.733333333333334,89.33333333333333,0,0.0,0.0,0.0,0.0,171424.0,29.333333333333332,5.666666666666667,1947.6666666666667,6381.333333333333,4433.666666666667,0.0,2.0,1.3333333333333333,2.0
8,2,False,17,18,77,0,0,0,1,0,0,0,0,0,0,0,1,3.6,6.3,48.0,5.8,80,78935,535335,97781,18846,Gabriel Fernando de Jesus,FWD,Arsenal,Liverpool,2023-24,1,1,1,0.3333333333333333,2.0,30.333333333333332,0.3333333333333333,34.13333333333333,1.3333333333333333,0.6666666666666666,13.433333333333332,40.266666666666666,83.66666666666667,0,0.0,0.0,0.0,0.0,397731.0,60.0,7.333333333333333,35248.333333333336,55131.666666666664,19883.333333333332,0.3333333333333333,2.0,1.3333333333333333,2.0
9,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-506,18621,52,558,Jorge Luiz Frello Filho,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19275.0,0.0,0.0,-250.0,217.66666666666666,467.6666666666667,0.0,2.0,1.3333333333333333,2.0
10,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-121,9001,77,198,Jakub Kiwior,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,4.333333333333333,0.0,1.5999999999999999,1.0,0.0,0.6333333333333333,4.0,21.333333333333332,0,0.0,0.0,0.0,0.0,9153.333333333334,0.6666666666666666,0.6666666666666666,-75.66666666666667,157.0,232.66666666666666,0.0,2.0,1.3333333333333333,2.0
11,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-38,4542,0,38,Marcus Oliveira Alencar,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4619.0,0.0,0.0,-34.0,0.0,34.0,0.0,2.0,1.3333333333333333,2.0
12,2,False,17,18,67,0,0,0,1,0,0,0,0,0,0,0,3,2.8,11.4,10.0,2.4,77,-27347,615616,7361,34708,Gabriel Martinelli Silva,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,13.666666666666666,0.3333333333333333,32.5,1.3333333333333333,0.3333333333333333,8.233333333333334,21.8,71.0,0,0.0,0.0,0.0,0.0,690493.3333333334,28.0,4.0,-38206.666666666664,19301.333333333332,57508.0,0.0,2.0,1.3333333333333333,2.0
13,0,False,17,18,12,0,0,0,0,0,0,0,1,0,0,0,-2,2.2,0.3,0.0,0.3,54,-27680,567743,11388,39068,Eddie Nketiah,FWD,Arsenal,Liverpool,2023-24,1,1,1,0.3333333333333333,0.0,5.666666666666667,0.0,3.4333333333333336,0.0,0.0,0.9666666666666668,5.466666666666666,5.666666666666667,0,0.0,0.0,0.0,0.0,694932.3333333334,1.3333333333333333,1.6666666666666667,-115172.33333333333,10063.666666666666,125236.0,0.0,2.0,1.3333333333333333,2.0
14,8,False,17,18,90,0,1,0,1,0,0,0,0,0,0,3,26,40.0,38.2,8.0,8.6,84,-21003,1524620,18499,39502,Martin Ødegaard,MID,Arsenal,Liverpool,2023-24,1,1,1,0.3333333333333333,0.0,15.333333333333334,0.3333333333333333,47.699999999999996,1.3333333333333333,0.0,9.566666666666666,19.333333333333332,90.0,0,0.0,0.0,0.0,0.0,1524168.0,28.666666666666668,3.3333333333333335,47452.0,76307.66666666667,28855.666666666668,0.0,2.0,1.3333333333333333,2.0
15,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-110,15822,9,119,Thomas Partey,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16108.666666666666,0.0,0.0,-183.0,9.333333333333334,192.33333333333334,0.0,2.0,1.3333333333333333,2.0
16,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-12,4588,0,12,Nicolas Pépé,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4618.666666666667,0.0,0.0,-17.666666666666668,0.0,17.666666666666668,0.0,2.0,1.3333333333333333,2.0
17,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-14000,680772,1201,15201,Aaron Ramsdale,GKP,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,717435.6666666666,0.0,0.0,-28130.0,2894.3333333333335,31024.333333333332,0.0,2.0,1.3333333333333333,2.0
18,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-117,8700,0,117,Rúnar Alex Rúnarsson,GKP,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8963.666666666666,0.0,0.0,-153.66666666666666,0.0,153.66666666666666,0.0,2.0,1.3333333333333333,2.0
19,1,False,17,18,90,0,0,0,1,0,0,0,1,0,0,0,3,11.6,37.6,19.0,6.8,90,-40105,6086940,51687,91792,Bukayo Saka,MID,Arsenal,Liverpool,2023-24,1,1,1,0.3333333333333333,0.0,13.666666666666666,0.3333333333333333,27.03333333333333,1.3333333333333333,0.0,8.766666666666667,19.2,89.33333333333333,0,0.0,0.0,0.0,0.0,6076151.0,41.0,3.3333333333333335,110438.0,168008.33333333334,57570.333333333336,0.0,2.0,1.3333333333333333,2.0
20,2,False,17,18,90,0,0,0,1,0,0,0,0,0,0,0,15,19.6,0.6,0.0,2.0,55,-7237,3692346,45858,53095,William Saliba,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.3333333333333333,18.0,0.3333333333333333,1.6333333333333335,1.3333333333333333,0.0,2.2666666666666666,17.666666666666668,90.0,0,0.0,0.0,0.0,0.0,3708790.6666666665,3.3333333333333335,3.3333333333333335,1571.3333333333333,84633.66666666667,83062.33333333333,0.0,2.0,1.3333333333333333,2.0
22,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,10,9704,78,68,Emile Smith Rowe,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0666666666666667,0.3333333333333333,0,0.0,0.0,0.0,0.0,9743.0,5.666666666666667,0.3333333333333333,-132.0,16.0,148.0,0.0,2.0,1.3333333333333333,2.0
24,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-58,10440,0,58,Kieran Tierney,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10583.0,0.0,0.0,-78.33333333333333,0.0,78.33333333333333,0.0,2.0,1.3333333333333333,2.0
25,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5625,35747,40,5665,Takehiro Tomiyasu,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,58461.0,0.0,0.0,-9071.666666666666,5733.0,14804.666666666666,0.0,2.0,1.3333333333333333,2.0
26,1,False,17,18,22,0,0,0,0,0,0,0,0,0,0,0,0,2.6,5.2,2.0,1.0,65,-19089,199328,877,19966,Leandro Trossard,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,1.3333333333333333,0.0,5.966666666666666,0.0,0.0,1.7333333333333334,1.1333333333333335,18.0,0,0.0,0.0,0.0,0.0,245691.66666666666,11.0,1.0,-18869.0,11356.666666666666,30225.666666666668,0.0,2.0,1.3333333333333333,2.0
29,1,False,17,18,90,0,0,0,1,0,0,0,1,0,0,0,12,16.6,21.8,0.0,3.8,56,-19952,1158274,9428,29380,Benjamin White,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.3333333333333333,0.0,20.0,0.3333333333333333,17.3,1.3333333333333333,0.0,4.566666666666666,23.133333333333336,90.0,0,0.0,0.0,0.0,0.0,1188903.6666666667,5.333333333333333,3.6666666666666665,-43193.333333333336,18909.333333333332,62102.666666666664,0.3333333333333333,2.0,1.3333333333333333,2.0
30,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-2,991,0,2,Granit Xhaka,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,996.3333333333334,0.0,0.0,-3.0,0.0,3.0,0.0,2.0,1.3333333333333333,2.0
31,2,False,17,18,90,0,0,0,1,0,0,0,0,0,0,0,12,10.6,2.9,3.0,1.7,52,8100,1348978,43183,35083,Oleksandr Zinchenko,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.6666666666666666,15.666666666666666,0.3333333333333333,19.900000000000002,0.3333333333333333,0.0,3.5,13.0,68.66666666666667,0,0.0,0.0,0.0,0.0,1345431.6666666667,2.0,3.3333333333333335,76896.0,121890.66666666667,44994.666666666664,0.3333333333333333,2.0,1.3333333333333333,2.0
113,2,False,17,18,90,0,0,0,1,0,0,0,0,0,2,0,13,16.6,0.0,0.0,1.7,49,-6689,563376,12230,18919,David Raya Martin,GKP,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,13.0,0.3333333333333333,0.0,1.3333333333333333,0.0,1.0666666666666667,10.733333333333334,90.0,0,0.0,0.0,0.0,1.3333333333333333,593961.6666666666,0.0,3.0,18520.666666666668,50214.0,31693.333333333332,0.0,2.0,1.3333333333333333,2.0
540,1,False,17,18,90,0,0,0,1,0,0,0,1,0,0,0,14,18.0,3.2,2.0,2.3,54,-13164,562496,8558,21722,Declan Rice,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.6666666666666666,21.0,0.3333333333333333,13.766666666666666,1.3333333333333333,0.3333333333333333,5.966666666666666,27.46666666666667,90.0,0,0.0,0.0,0.0,0.0,569572.6666666666,18.333333333333332,4.333333333333333,3572.3333333333335,23087.666666666668,19515.333333333332,0.3333333333333333,2.0,1.3333333333333333,2.0
578,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-83,4145,50,133,Reiss Nelson,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,2.6666666666666665,0.0,0.09999999999999999,0.0,0.0,0.26666666666666666,2.6666666666666665,0.6666666666666666,0,0.0,0.0,0.0,0.0,4247.333333333333,0.0,0.6666666666666666,-88.33333333333333,81.0,169.33333333333334,0.0,2.0,1.3333333333333333,2.0
585,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-268,47168,30,298,Jurriën Timber,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,47779.0,0.0,0.0,-363.0,29.0,392.0,0.0,2.0,1.3333333333333333,2.0
646,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-37,5283,86,123,Karl Hein,GKP,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5222.0,0.0,0.0,-72.33333333333333,104.66666666666667,177.0,0.0,2.0,1.3333333333333333,2.0
735,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-19,370,25,44,Charles Sagoe,MID,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,333.6666666666667,0.0,0.0,8.666666666666666,54.0,45.333333333333336,0.0,2.0,1.3333333333333333,2.0
736,0,False,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-25,1959,149,174,Reuell Walters,DEF,Arsenal,Liverpool,2023-24,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1543.0,0.0,0.0,90.33333333333333,261.0,170.66666666666666,0.0,2.0,1.3333333333333333,2.0
