id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-84,19371,0,84,Folarin Balogun,FWD,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19580.333333333332,0.0,0.0,-139.0,0.0,139.0,0.0,5.0,0.3333333333333333,3.0
2,1,False,20,27,25,0,0,0,0,0,0,0,0,0,0,0,9,1.0,2.3,0.0,0.3,38,1809,41624,2886,1077,Cédric Alves Soares,DEF,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.10000000000000002,0.3333333333333333,11.333333333333334,0.0,0,0,0.0,0.0,39902.333333333336,0.0,0.6666666666666666,-466.6666666666667,498.0,964.6666666666666,0.0,5.0,0.3333333333333333,3.0
3,0,False,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-38,7372,76,114,Mohamed Elneny,MID,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,1.3333333333333333,0.0,0.5333333333333333,0.0,0.0,0.4000000000000001,0.7333333333333334,8.0,0.0,0,0,0.0,0.0,7417.333333333333,2.6666666666666665,0.6666666666666666,-31.333333333333332,128.66666666666666,160.0,0.0,5.0,0.3333333333333333,3.0
4,1,False,20,27,45,0,0,0,0,0,0,0,0,0,0,0,3,2.8,14.1,2.0,1.9,54,-8,8492,25,33,Fábio Ferreira Vieira,MID,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,8500.0,0.0,0.0,-43.333333333333336,14.333333333333334,57.666666666666664,0.0,5.0,0.3333333333333333,3.0
5,6,False,20,27,90,0,0,1,0,0,0,0,0,0,0,0,28,20.0,9.8,0.0,3.0,53,185766,2896583,206104,20338,Gabriel dos Santos Magalhães,DEF,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,27.666666666666668,0.6666666666666666,1.5999999999999999,0.3333333333333333,0.3333333333333333,7.666666666666667,35.06666666666666,90.0,0.0,0,0,0.0,0.0,2402725.0,40.0,6.666666666666667,244254.66666666666,274582.3333333333,30327.666666666668,0.0,5.0,0.3333333333333333,3.0
6,14,False,20,27,90,1,1,1,0,0,0,0,0,0,0,3,41,62.6,48.8,50.0,16.1,71,59959,234648,63773,3814,Kai Havertz,MID,Arsenal,Sheffield Utd,2023-24,6,0,3,0.6666666666666666,1.3333333333333333,27.333333333333332,1.0,21.46666666666667,0.0,0.6666666666666666,8.733333333333334,34.266666666666666,82.66666666666667,0.0,0,0,0.0,0.0,167609.66666666666,31.666666666666668,9.666666666666666,1175.3333333333333,4459.666666666667,3284.3333333333335,0.0,5.0,0.3333333333333333,3.0
8,1,False,20,27,26,0,0,0,0,0,0,0,0,0,0,0,2,4.6,2.9,23.0,3.1,78,5853,282502,13474,7621,Gabriel Fernando de Jesus,FWD,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,305042.6666666667,0.0,0.0,-58480.0,2203.6666666666665,60683.666666666664,0.0,5.0,0.3333333333333333,3.0
9,3,False,20,27,64,0,0,1,0,0,0,0,0,0,0,0,14,12.8,17.3,0.0,3.0,53,16,19098,252,236,Jorge Luiz Frello Filho,MID,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,5.0,0.0,7.833333333333333,0.3333333333333333,0.0,1.2666666666666668,4.666666666666667,33.0,0.0,0,0,0.0,0.0,18984.333333333332,0.0,1.0,8.333333333333334,295.3333333333333,287.0,0.0,5.0,0.3333333333333333,3.0
10,10,False,20,27,90,0,1,1,0,0,0,0,0,0,0,1,35,31.0,20.3,8.0,5.9,43,59274,103967,63279,4005,Jakub Kiwior,DEF,Arsenal,Sheffield Utd,2023-24,6,0,3,0.3333333333333333,0.0,29.0,0.6666666666666666,10.433333333333334,0.3333333333333333,0.3333333333333333,5.233333333333333,28.73333333333333,90.0,0.0,0,0,0.0,0.0,24827.333333333332,13.0,7.666666666666667,11089.666666666666,12605.0,1515.3333333333333,0.0,5.0,0.3333333333333333,3.0
11,0,False,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11,4343,0,11,Marcus Oliveira Alencar,MID,Arsenal,Sheffield Utd,2023-24,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4373.333333333333,0.0,0.0,-21.0,0.0,21.0,0.0,5.0,0.3333333333333333,3.0
