id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-143,19569,0,143,Folarin Balogun,FWD,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,19848.666666666668,0.0,0.0,-147.66666666666666,0.0,147.66666666666666,0.0,3.6666666666666665,0.6666666666666666,3.0
2,1,False,15,25,21,0,0,0,0,0,0,0,0,0,0,0,3,0.6,1.3,0.0,0.2,39,-363,40285,696,1059,Cédric Alves Soares,DEF,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,1.0,0.0,0.2333333333333333,0.0,0.0,0.03333333333333333,0.13333333333333333,4.333333333333333,0.0,0.0,0,0.0,0.0,40364.333333333336,0.0,0.3333333333333333,-592.3333333333334,213.33333333333334,805.6666666666666,0.0,3.6666666666666665,0.6666666666666666,3.0
3,0,False,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,36,7517,200,164,Mohamed Elneny,MID,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,0.3333333333333333,0.0,0.43333333333333335,0.0,0.0,0.3666666666666667,0.6666666666666666,7.666666666666667,0.0,0.0,0,0.0,0.0,7389.333333333333,2.6666666666666665,0.3333333333333333,-144.66666666666666,36.0,180.66666666666666,0.0,3.6666666666666665,0.6666666666666666,3.0
4,0,False,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-53,8488,9,62,Fábio Ferreira Vieira,MID,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8580.333333333334,0.0,0.0,-61.666666666666664,6.666666666666667,68.33333333333333,0.0,3.6666666666666665,0.6666666666666666,3.0
5,6,False,15,25,90,0,0,1,0,0,0,0,0,0,0,0,31,26.2,0.8,19.0,4.6,51,349019,2429400,372017,22998,Gabriel dos Santos Magalhães,DEF,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,17.0,0.3333333333333333,4.333333333333333,0.6666666666666666,0.3333333333333333,6.1000000000000005,30.866666666666664,90.0,0.3333333333333333,0.0,0,0.0,0.0,1971276.0,25.666666666666668,4.333333333333333,35143.666666666664,78618.33333333333,43474.666666666664,0.3333333333333333,3.6666666666666665,0.6666666666666666,3.0
6,12,False,15,25,83,1,1,1,0,0,0,0,0,0,0,1,38,40.6,11.8,36.0,8.8,71,-1849,163708,2042,3891,Kai Havertz,MID,Arsenal,Burnley,2023-24,5,0,3,0.3333333333333333,0.0,7.0,0.3333333333333333,24.733333333333334,0.6666666666666666,0.0,6.1000000000000005,10.666666666666666,66.33333333333333,0.0,0.0,0,0.0,0.0,167334.33333333334,25.666666666666668,2.6666666666666665,-3192.0,1446.0,4638.0,0.3333333333333333,3.6666666666666665,0.6666666666666666,3.0
8,0,False,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,78,-56147,291387,1237,57384,Gabriel Fernando de Jesus,FWD,Arsenal,Burnley,2023-24,5,0,3,0.3333333333333333,0.6666666666666666,10.333333333333334,0.3333333333333333,11.266666666666666,0.0,0.3333333333333333,5.666666666666667,17.666666666666668,25.666666666666668,0.0,0.0,0,0.0,0.0,418998.3333333333,27.666666666666668,3.3333333333333335,-42415.666666666664,20516.666666666668,62932.333333333336,0.3333333333333333,3.6666666666666665,0.6666666666666666,3.0
9,1,False,15,25,11,0,0,0,0,0,0,0,0,0,0,0,3,4.2,1.3,0.0,0.6,53,-59,19020,301,360,Jorge Luiz Frello Filho,MID,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,4.666666666666667,0.0,5.3,0.3333333333333333,0.0,1.0666666666666667,5.266666666666667,30.333333333333332,0.0,0.0,0,0.0,0.0,18712.666666666668,0.0,1.0,58.333333333333336,243.66666666666666,185.33333333333334,0.0,3.6666666666666665,0.6666666666666666,3.0
10,9,False,15,25,90,0,1,1,0,0,0,0,0,0,0,0,34,26.2,11.5,2.0,4.0,43,4182,16053,5152,970,Jakub Kiwior,DEF,Arsenal,Burnley,2023-24,5,0,3,0.3333333333333333,0.0,13.666666666666666,0.3333333333333333,9.000000000000002,0.0,0.0,3.3000000000000003,17.2,45.333333333333336,0.0,0.0,0,0.0,0.0,9258.333333333334,7.0,3.3333333333333335,138.0,346.0,208.0,0.3333333333333333,3.6666666666666665,0.6666666666666666,3.0
11,0,False,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-27,4369,0,27,Marcus Oliveira Alencar,MID,Arsenal,Burnley,2023-24,5,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4413.0,0.0,0.0,-19.0,0.0,19.0,0.0,3.6666666666666665,0.6666666666666666,3.0
