id,total_points,was_home,kickoff_time,gameweek,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-12786,37048,0,12786,Folarin Balogun,FWD,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57230.333333333336,0.0,0.0,-7374.0,3341.3333333333335,10715.333333333334,0.0,2.0,1.0,2.3333333333333335
2,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,505,35814,3109,2604,Cédric Alves Soares,DEF,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34000.333333333336,0.0,0.0,-2342.0,1456.6666666666667,3798.6666666666665,0.0,2.0,1.0,2.3333333333333335
3,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-810,6783,177,987,Mohamed Elneny,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7931.333333333333,0.0,0.0,-1494.3333333333333,1022.6666666666666,2517.0,0.0,2.0,1.0,2.3333333333333335
4,3,False,15,5,79,0,0,1,0,0,0,0,0,0,0,0,6,0.2,11.7,25.0,3.7,54,683,12876,1862,1179,Fábio Ferreira Vieira,MID,Arsenal,Everton,2023-24,1,0,3,1.0,0.0,12.333333333333334,0.0,9.166666666666666,0.3333333333333333,0.0,3.233333333333333,13.666666666666666,15.666666666666666,0.0,0.0,0.0,0.0,0.0,10313.0,9.666666666666666,3.6666666666666665,-752.6666666666666,856.6666666666666,1609.3333333333333,0.0,2.0,1.0,2.3333333333333335
5,5,False,15,5,90,0,0,1,0,0,0,0,1,0,0,0,23,19.6,4.2,0.0,2.4,48,-128729,1350616,32915,161644,Gabriel dos Santos Magalhães,DEF,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,7.0,0.0,0.7333333333333334,0.3333333333333333,0.0,1.2,11.4,36.666666666666664,0.0,0.0,0.0,0.0,0.0,2044261.0,0.0,1.0,-480216.0,37282.0,517498.0,0.0,2.0,1.0,2.3333333333333335
6,1,False,15,5,10,0,0,0,0,0,0,0,0,0,0,0,4,2.4,0.3,2.0,0.5,72,-36089,197269,2545,38634,Kai Havertz,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,2.0,0.3333333333333333,16.566666666666666,0.6666666666666666,0.0,3.4,4.3999999999999995,73.66666666666667,0.0,0.0,0.0,0.0,0.0,304388.0,13.333333333333334,1.6666666666666667,-74821.66666666667,5235.333333333333,80057.0,0.3333333333333333,2.0,1.0,2.3333333333333335
8,1,False,15,5,24,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,0.3,2.0,0.3,79,115363,295935,139534,24171,Gabriel Fernando de Jesus,FWD,Arsenal,Everton,2023-24,1,0,3,0.0,0.6666666666666666,8.666666666666666,0.0,3.866666666666667,0.0,0.3333333333333333,3.5666666666666664,12.666666666666666,5.0,0.0,0.0,0.0,0.0,0.0,130488.33333333333,19.333333333333332,2.3333333333333335,-29371.333333333332,14038.666666666666,43410.0,0.3333333333333333,2.0,1.0,2.3333333333333335
9,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1276,18382,430,1706,Jorge Luiz Frello Filho,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,4.0,0.0,2.433333333333333,0.3333333333333333,0.0,0.5,2.6666666666666665,6.0,0.0,0.0,0.0,0.0,0.0,19187.333333333332,0.0,1.0,-1802.6666666666667,753.0,2555.6666666666665,0.0,2.0,1.0,2.3333333333333335
10,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-413,9553,368,781,Jakub Kiwior,DEF,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,4.666666666666667,0.0,1.6333333333333335,0.6666666666666666,0.0,1.2,5.466666666666666,30.333333333333332,0.0,0.0,0.0,0.0,0.0,9336.666666666666,4.666666666666667,0.6666666666666666,-750.6666666666666,436.6666666666667,1187.3333333333333,0.0,2.0,1.0,2.3333333333333335
11,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-866,6063,0,866,Marcus Oliveira Alencar,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8618.0,0.0,0.0,-2809.3333333333335,273.0,3082.3333333333335,0.0,2.0,1.0,2.3333333333333335
12,1,False,15,5,23,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,4.0,0.4,79,-108582,949049,32553,141135,Gabriel Martinelli Silva,MID,Arsenal,Everton,2023-24,1,0,3,0.3333333333333333,0.0,12.0,0.3333333333333333,14.233333333333334,1.0,0.0,6.533333333333332,11.466666666666667,82.66666666666667,0.0,0.0,0.0,0.0,0.0,1279490.0,39.666666666666664,3.3333333333333335,-115657.66666666667,69756.33333333333,185414.0,0.0,2.0,1.0,2.3333333333333335
13,2,False,15,5,65,0,0,1,0,0,0,0,0,0,0,0,3,0.0,0.9,5.0,0.4,56,-37846,658614,64112,101958,Eddie Nketiah,FWD,Arsenal,Everton,2023-24,1,0,3,0.3333333333333333,0.0,12.666666666666666,0.3333333333333333,20.666666666666668,0.6666666666666666,0.3333333333333333,5.8,12.266666666666666,66.0,0.0,0.0,0.0,0.0,0.0,602641.6666666666,25.333333333333332,4.0,95923.0,150946.33333333334,55023.333333333336,0.0,2.0,1.0,2.3333333333333335
14,3,False,15,5,90,0,0,1,0,0,0,0,0,0,0,0,12,15.8,37.8,40.0,9.4,85,905,2102450,104639,103734,Martin Ødegaard,MID,Arsenal,Everton,2023-24,1,0,3,0.0,1.0,22.0,0.3333333333333333,12.533333333333333,0.6666666666666666,0.6666666666666666,7.433333333333334,31.533333333333335,87.33333333333333,0.0,0.0,0.0,0.0,0.0,2098620.6666666665,30.333333333333332,6.666666666666667,-82400.33333333333,93293.66666666667,175694.0,0.0,2.0,1.0,2.3333333333333335
15,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-7455,25570,356,7811,Thomas Partey,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,12.333333333333334,0.3333333333333333,10.200000000000001,0.3333333333333333,0.0,2.4666666666666663,9.866666666666667,48.333333333333336,0.0,0.0,0.0,0.0,0.0,34955.0,4.333333333333333,1.3333333333333333,-3428.0,2240.3333333333335,5668.333333333333,0.0,2.0,1.0,2.3333333333333335
16,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-913,6572,104,1017,Nicolas Pépé,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7509.0,0.0,0.0,-899.3333333333334,187.66666666666666,1087.0,0.0,2.0,1.0,2.3333333333333335
17,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-18218,1601633,54121,72339,Aaron Ramsdale,GKP,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,15.0,0.3333333333333333,0.0,1.0,0.0,1.2666666666666666,12.799999999999999,90.0,0.0,0.0,0.0,0.0,1.3333333333333333,1620160.3333333333,0.0,3.0,-55705.0,41676.666666666664,97381.66666666667,0.0,2.0,1.0,2.3333333333333335
18,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1049,12616,0,1049,Rúnar Alex Rúnarsson,GKP,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15345.666666666666,0.0,0.0,-1548.0,330.0,1878.0,0.0,2.0,1.0,2.3333333333333335
19,6,False,15,5,90,0,1,1,0,0,0,0,0,0,0,0,20,24.0,26.2,4.0,5.4,87,-71021,6390390,111675,182696,Bukayo Saka,MID,Arsenal,Everton,2023-24,1,0,3,0.3333333333333333,0.3333333333333333,21.0,0.3333333333333333,53.900000000000006,1.0,0.3333333333333333,12.833333333333334,32.199999999999996,89.33333333333333,0.0,0.0,0.0,0.0,0.0,6197366.0,42.333333333333336,5.0,192721.66666666666,275316.0,82594.33333333333,0.3333333333333333,2.0,1.0,2.3333333333333335
20,6,False,15,5,90,0,0,1,0,0,0,0,0,0,0,0,27,25.6,1.2,0.0,2.7,52,63946,2854851,162369,98423,William Saliba,DEF,Arsenal,Everton,2023-24,1,0,3,0.0,0.6666666666666666,20.0,0.3333333333333333,6.0,1.0,0.0,3.033333333333333,21.8,90.0,0.0,0.0,0.0,0.0,0.0,2473470.3333333335,2.3333333333333335,3.6666666666666665,251766.0,334255.0,82489.0,0.0,2.0,1.0,2.3333333333333335
22,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1039,11960,344,1383,Emile Smith Rowe,MID,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13799.0,0.0,0.0,-2284.0,361.3333333333333,2645.3333333333335,0.0,2.0,1.0,2.3333333333333335
24,0,False,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5926,15506,0,5926,Kieran Tierney,DEF,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26555.666666666668,0.0,0.0,-4834.333333333333,888.3333333333334,5722.666666666667,0.0,2.0,1.0,2.3333333333333335
25,1,False,15,5,10,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0.0,0.0,0.2,45,348,24210,1962,1614,Takehiro Tomiyasu,DEF,Arsenal,Everton,2023-24,1,0,3,0.0,0.0,5.333333333333333,0.3333333333333333,2.233333333333333,0.0,0.0,0.16666666666666666,0.13333333333333333,26.666666666666668,0.0,0.0,0.0,0.3333333333333333,0.0,22348.0,0.0,1.3333333333333333,-1621.0,2204.0,3825.0,0.0,2.0,1.0,2.3333333333333335
