,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Aaron Cresswell,West Ham,DEF,50,90,1,50,90,2,50,90,0,50,90,6,49,71,2,49,0,0,49,0,0,48,90,2,48,90,5,48,90,2,48,90,3,48,90,2,48,90,8,48,90,2,48,90,1,48,90,1,48,90,1,48,90,1,48,22,1,48,90,2,48,0,0,48,0,0,48,0,0,47,0,0,47,45,1,47,0,0,47,0,0,47,0,0,47,2,1,47,90,8,47,90,0,47,90,12,47,90,1,47,135,2,47,90,6,47,0,0,47,0,0,47,70,1
0,Aaron Hickey,Brentford,DEF,50,83,1,50,79,6,50,59,0,50,90,1,50,78,1,50,90,0,50,0,0,50,90,1,50,29,0,50,82,3,50,0,0,50,0,0,50,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,60,6,49,0,0,49,75,2,49,0,0,49,90,5,49,163,7,49,90,4,49,105,1,49,73,1,49,73,1,49,90,2,49,1,1,49,90,2,49,87,2,49,84,5,49,88,5,49,69,6
0,Aaron Ramsdale,Arsenal,GK,50,90,6,50,90,1,50,90,6,50,90,2,50,90,2,50,90,2,50,0,0,49,90,6,49,90,2,49,90,1,49,90,10,49,0,0,49,90,2,49,90,6,49,90,6,49,90,6,49,90,3,49,90,2,49,90,6,49,90,11,49,90,1,49,90,3,49,180,3,49,90,2,49,180,13,49,90,1,49,90,6,49,90,3,49,90,3,49,90,1,49,90,1,49,90,2,49,90,1,48,90,3,48,90,10,48,90,2,48,90,2,48,90,6
0,Aaron Wan-Bissaka,Man Utd,DEF,45,0,0,45,0,0,44,4,1,44,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,90,6,43,90,9,43,68,6,43,180,4,43,90,1,43,86,2,43,17,1,43,21,1,43,0,0,43,0,0,43,90,6,43,0,0,43,0,0,43,90,6,43,90,6,43,0,0,43,70,1,43,90,2,43,86,1,43,90,6,43,180,8,43,0,0
0,Abdoulaye Doucouré,Everton,MID,55,90,2,55,34,1,54,0,0,54,0,0,53,0,0,53,0,0,53,0,0,53,9,1,53,1,1,53,0,0,53,0,0,53,0,0,53,4,1,53,0,0,53,29,1,53,15,1,53,7,1,53,1,1,53,32,0,53,0,0,53,0,0,53,90,3,53,90,1,53,90,2,53,168,3,53,90,9,53,90,5,53,90,13,53,57,-2,53,0,0,53,0,0,53,0,0,53,90,2,53,90,2,53,90,13,53,90,2,53,90,2,53,90,11
0,Adam Armstrong,Southampton,FWD,55,45,1,55,29,4,55,69,2,55,76,2,55,85,9,55,82,2,55,0,0,55,70,2,55,30,1,55,65,2,55,73,2,55,87,2,55,72,2,55,0,0,55,26,1,55,58,1,55,6,1,55,1,1,55,26,1,55,29,1,54,83,2,54,9,1,54,0,0,54,31,1,54,8,1,54,27,0,54,14,1,54,0,0,53,0,0,53,0,0,53,0,0,53,76,1,53,75,2,53,20,1,53,14,1,53,8,1,53,0,0,53,27,5
0,Adam Forshaw,Leeds,MID,45,0,0,45,2,1,45,29,1,45,16,1,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,64,2,44,45,1,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,13,1,44,10,1,44,0,0,44,19,1,44,79,2,44,45,1,44,61,2,44,90,2
0,Adam Lallana,Brighton,MID,50,75,2,50,64,3,50,62,3,50,0,0,50,0,0,49,0,0,49,0,0,49,0,0,49,14,1,49,8,1,49,22,1,49,63,3,49,45,1,49,64,2,49,64,13,49,4,1,49,66,9,49,60,2,49,12,1,49,65,3,49,29,1,49,0,0,49,0,0,49,0,0,49,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0
0,Adam Smith,Bournemouth,DEF,45,90,5,45,90,-1,45,90,0,44,45,-2,44,90,6,44,90,1,44,0,0,44,90,2,44,90,8,44,90,2,44,90,1,44,90,2,44,90,1,44,90,5,44,90,0,44,90,8,44,90,1,44,90,1,44,62,0,44,0,0,44,90,2,44,90,1,43,78,1,43,90,5,43,58,-1,43,90,1,43,79,6,43,78,2,43,180,3,43,90,5,43,41,1,43,60,1,43,12,1,43,90,1,43,90,1,43,30,1,43,65,2,43,82,1
0,Adam Webster,Brighton,DEF,45,90,2,45,90,6,45,90,6,45,90,5,45,90,1,45,90,1,45,0,0,45,0,0,45,90,-1,45,90,2,45,90,1,45,90,6,45,90,1,45,90,2,45,90,1,45,0,0,45,0,0,45,0,0,45,0,0,45,1,1,45,0,0,45,1,1,45,75,2,45,72,6,45,0,0,45,90,6,45,88,2,45,0,0,45,90,9,45,21,1,45,86,2,45,0,0,45,0,0,45,180,11,45,45,0,45,0,0,45,0,0,45,64,1
