,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Aaron Connolly,Brighton,FWD,55,0,0,55,45,1,55,0,0,54,0,0,54,0,0,53,14,1,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,35,1,53,0,0,53,60,2,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0,53,0,0
0,Aaron Cresswell,West Ham,DEF,55,90,7,55,90,2,55,90,5,55,90,8,55,90,1,55,90,2,55,90,1,55,90,7,55,90,12,55,90,2,55,90,1,55,90,2,55,60,2,55,0,0,54,0,0,54,0,0,54,0,0,54,0,0,53,0,0,53,0,0,53,90,6,53,90,6,53,90,2,53,90,8,53,90,0,53,90,8,53,90,7,54,90,2,54,56,1,54,90,1,54,90,9,54,90,1,55,90,2,55,90,2,55,90,0,55,90,6,54,90,1,54,90,1
0,Aaron Lennon,Burnley,MID,50,0,0,50,0,0,50,27,0,50,14,1,50,0,0,50,3,1,50,59,1,50,0,0,50,0,0,50,0,0,50,0,0,49,0,0,49,0,0,49,5,1,49,0,0,49,2,1,49,0,0,49,0,0,49,0,0,49,73,7,49,79,2,49,0,0,49,155,6,49,21,1,49,90,2,49,180,11,49,180,7,49,90,2,49,90,2,49,0,0,48,174,4,48,63,2,48,24,1,48,19,1,47,88,2,46,65,2,46,23,2,46,17,1
0,Aaron Ramsdale,Arsenal,GK,45,0,0,45,0,0,45,0,0,45,90,6,45,90,9,45,90,3,45,90,6,46,90,2,46,90,3,46,90,10,47,90,7,48,90,1,48,90,7,49,90,3,49,90,2,50,90,11,50,90,5,51,90,2,52,90,6,52,0,0,51,90,1,51,0,0,51,90,8,51,90,9,51,0,0,51,180,4,51,0,0,51,90,2,51,180,10,51,0,0,51,90,1,51,90,1,51,180,3,51,90,3,51,90,2,51,180,4,51,90,2,51,90,2
0,Aaron Ramsey,Aston Villa,MID,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,0,0
0,Aaron Wan-Bissaka,Man Utd,DEF,55,90,2,55,90,2,55,90,8,55,90,2,54,90,2,54,90,2,54,90,2,54,90,-1,53,90,-1,53,90,7,53,90,1,52,90,0,52,90,2,52,0,0,52,0,0,51,0,0,51,0,0,51,0,0,51,0,0,51,90,2,51,83,2,51,0,0,51,0,0,51,0,0,51,0,0,51,90,1,51,90,6,51,90,0,51,0,0,51,0,0,51,0,0,51,90,2,51,90,0,51,0,0,51,0,0,51,0,0,51,0,0,51,0,0
0,Abdoulaye Doucouré,Everton,MID,55,90,8,55,90,4,55,90,3,55,90,10,55,90,2,55,90,11,56,90,5,57,90,2,57,0,0,55,0,0,55,0,0,54,0,0,54,90,2,54,90,2,54,90,2,54,90,4,54,90,2,54,0,0,54,0,0,54,0,0,54,90,2,54,90,2,54,64,2,54,0,0,53,0,0,53,0,0,53,90,2,53,90,2,53,180,5,53,0,0,53,180,4,53,6,1,53,0,0,53,90,1,53,90,3,53,180,5,53,180,3,53,36,1
0,Abu Kamara,Norwich,FWD,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Adam Armstrong,Southampton,FWD,60,90,6,60,90,2,60,90,5,60,73,2,60,90,2,60,90,2,60,90,2,60,0,0,60,1,1,59,90,5,59,80,9,60,90,5,60,90,2,60,73,2,60,9,1,59,42,1,59,0,0,59,0,0,58,0,0,58,82,1,58,12,1,58,12,1,58,0,0,57,0,0,57,0,0,57,1,1,57,0,0,57,17,1,57,0,0,57,0,0,57,0,0,57,45,1,57,0,0,57,0,0,57,0,0,57,90,2,57,0,0,57,62,2
0,Adam Forshaw,Leeds,MID,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,26,1,45,0,0,45,13,1,45,89,2,45,71,1,45,90,3,45,90,2,45,90,2,45,90,2,45,90,2,45,90,2,45,0,0,45,0,0,45,90,2,45,21,4,45,0,0,45,5,1,45,45,1,45,180,3,45,90,2,45,86,2,45,90,2,45,90,1,45,90,2,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
