,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Adam Smith,Bournemouth,DEF,45,0,0,45,0,0,44,0,0,44,0,0,44,0,0,44,0,0,44,7,1,44,85,1,44,0,0,44,5,1,44,0,0,44,22,1,44,90,5,44,90,1,44,90,6,44,90,6,44,0,0,44,90,4,44,90,6,44,81,1,44,0,0,44,90,2,44,90,2,44,84,0,44,90,1,44,90,2,44,90,5,44,143,0,44,0,0,44,90,5,44,89,9,44,90,1,44,69,1,44,135,6,44,90,7,44,88,0,44,80,6,44,0,0
0,Adam Webster,Brighton,DEF,45,0,0,45,90,1,44,90,1,44,0,0,44,0,0,44,90,2,44,90,-1,44,0,0,43,0,0,43,90,2,43,0,0,43,90,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,42,0,0,42,0,0,42,73,6,42,18,0,42,0,0,42,0,0,42,0,0,42,45,1,42,0,0,42,90,1,42,0,0,42,0,0,42,0,0,42,0,0,42,0,0,42,0,0,42,0,0,42,16,1,42,90,8,42,180,3,42,90,1
0,Adam Wharton,Crystal Palace,MID,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,62,2,50,90,2,50,87,3,50,65,2,50,70,3,50,80,3,50,0,0,50,79,2,50,85,2,50,90,5,50,90,3,50,142,4,50,90,8,50,90,3,50,90,5,50,86,3
0,Adama Traoré,Fulham,MID,50,0,0,50,4,1,50,19,1,50,9,1,50,0,0,50,0,0,50,0,0,50,0,0,49,0,0,49,0,0,49,0,0,49,8,1,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,5,1,49,15,0,49,13,4,49,6,6,49,20,1,49,0,0,49,27,4,49,57,1,49,25,1,49,1,1,49,5,1,49,0,0,49,26,1,49,45,1,49,78,10
0,Ademola Ola-Adebomi,Crystal Palace,FWD,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Admiral Muskwe,Luton,FWD,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0,45,0,0
0,Adrián San Miguel del Castillo,Liverpool,GK,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,39,0,0,38,0,0,38,0,0,38,0,0
0,Aidan Francis-Clarke,Luton,DEF,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0,40,0,0
0,Albert Sambi Lokonga,Arsenal,MID,50,0,0,50,0,0,49,0,0,49,0,0,49,74,2,49,56,1,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,18,1,49,0,0,49,79,3,49,90,6,49,90,2,49,85,2,49,67,5,49,90,1,49,90,2,49,135,3,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,0,0,49,70,2,49,90,1,49,90,6,49,90,9,49,90,1
0,Alejandro Garnacho,Man Utd,MID,50,67,3,50,65,2,50,0,0,49,6,1,49,5,1,48,0,0,48,29,1,48,27,1,48,26,1,47,17,1,47,90,2,47,67,3,47,71,8,47,90,2,47,90,4,48,78,2,48,70,3,48,84,2,47,90,14,48,90,4,48,90,2,48,90,1,48,90,16,49,90,2,49,90,5,50,90,2,50,81,2,50,82,9,50,0,0,49,58,1,49,85,14,49,79,2,50,45,4,50,90,5,50,90,2,50,90,2,50,172,4,50,90,3
