,PLAYER,TEAM,POSITION,PRICE 1,MINUTES 1,POINTS 1,PRICE 2,MINUTES 2,POINTS 2,PRICE 3,MINUTES 3,POINTS 3,PRICE 4,MINUTES 4,POINTS 4,PRICE 5,MINUTES 5,POINTS 5,PRICE 6,MINUTES 6,POINTS 6,PRICE 7,MINUTES 7,POINTS 7,PRICE 8,MINUTES 8,POINTS 8,PRICE 9,MINUTES 9,POINTS 9,PRICE 10,MINUTES 10,POINTS 10,PRICE 11,MINUTES 11,POINTS 11,PRICE 12,MINUTES 12,POINTS 12,PRICE 13,MINUTES 13,POINTS 13,PRICE 14,MINUTES 14,POINTS 14,PRICE 15,MINUTES 15,POINTS 15,PRICE 16,MINUTES 16,POINTS 16,PRICE 17,MINUTES 17,POINTS 17,PRICE 18,MINUTES 18,POINTS 18,PRICE 19,MINUTES 19,POINTS 19,PRICE 20,MINUTES 20,POINTS 20,PRICE 21,MINUTES 21,POINTS 21,PRICE 22,MINUTES 22,POINTS 22,PRICE 23,MINUTES 23,POINTS 23,PRICE 24,MINUTES 24,POINTS 24,PRICE 25,MINUTES 25,POINTS 25,PRICE 26,MINUTES 26,POINTS 26,PRICE 27,MINUTES 27,POINTS 27,PRICE 28,MINUTES 28,POINTS 28,PRICE 29,MINUTES 29,POINTS 29,PRICE 30,MINUTES 30,POINTS 30,PRICE 31,MINUTES 31,POINTS 31,PRICE 32,MINUTES 32,POINTS 32,PRICE 33,MINUTES 33,POINTS 33,PRICE 34,MINUTES 34,POINTS 34,PRICE 35,MINUTES 35,POINTS 35,PRICE 36,MINUTES 36,POINTS 36,PRICE 37,MINUTES 37,POINTS 37,PRICE 38,MINUTES 38,POINTS 38
0,Aaron Connolly,Brighton,FWD,55,45,1,55,89,8,55,73,2,55,65,2,55,12,4,55,0,0,55,0,0,54,4,1,54,0,0,53,62,2,53,63,2,53,28,1,53,0,0,53,90,2,53,0,0,53,0,0,52,45,5,52,0,0,52,0,0,52,0,0,52,11,1,52,7,1,52,61,2,52,0,0,52,0,0,52,60,2,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,52,23,1,52,0,0,52,0,0,52,0,0,52,0,0,52,45,1
0,Aaron Cresswell,West Ham,DEF,50,90,1,50,90,1,49,90,7,49,90,15,49,90,5,50,90,2,50,90,1,51,90,6,51,90,7,52,90,2,52,90,1,52,90,5,52,90,2,52,90,1,53,90,4,53,90,6,53,90,11,53,0,0,54,180,10,54,90,5,55,90,4,56,90,1,57,90,9,58,90,12,58,90,2,58,90,1,58,90,12,58,90,2,59,90,0,59,90,1,59,52,0,58,0,0,57,0,0,56,90,2,56,58,1,56,90,3,56,90,5,57,90,6
0,Aaron Mooy,Brighton,MID,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0
0,Aaron Ramsdale,Sheffield Utd,GK,50,90,1,50,90,2,50,90,4,50,90,2,50,90,3,49,90,2,49,90,4,49,90,2,48,90,2,48,90,3,48,90,1,48,90,2,47,90,2,47,90,2,47,90,2,47,90,2,47,90,1,47,90,9,47,90,1,46,90,3,46,90,3,46,90,3,46,90,1,46,90,3,46,90,3,46,180,13,46,90,2,46,90,1,46,0,0,46,90,4,46,90,1,46,90,3,46,90,9,46,90,2,46,90,3,46,90,10,46,90,3,46,90,9
0,Aaron Wan-Bissaka,Man Utd,DEF,55,0,0,55,0,0,55,90,1,54,90,-1,54,90,8,54,90,6,54,90,2,54,90,2,54,90,8,54,90,1,54,90,2,54,90,6,54,90,1,54,90,1,54,0,0,54,90,6,53,90,6,53,90,6,54,180,8,54,90,1,54,90,8,54,90,17,55,90,4,56,90,2,56,90,2,56,180,12,56,90,6,57,90,5,57,0,0,57,90,2,57,90,2,57,90,1,57,90,9,57,0,0,57,180,8,57,0,0,57,90,2,58,0,0
0,Abdoulaye Doucouré,Everton,MID,55,90,3,55,64,1,55,90,2,55,90,5,54,77,2,54,57,1,54,90,1,53,90,1,53,90,9,53,90,2,53,80,2,53,90,2,53,90,3,53,90,2,53,90,6,53,0,0,53,90,2,53,90,1,53,0,0,52,0,0,52,90,2,52,90,2,52,80,10,52,180,3,52,90,3,52,153,6,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,52,0,0,51,0,0,51,0,0,51,90,3,51,77,2,51,89,3,51,56,1
0,Aboubakar Kamara,Fulham,MID,50,62,2,50,57,1,50,51,0,50,23,1,49,0,0,49,21,-2,49,0,0,48,0,0,48,0,0,48,0,0,48,19,1,48,16,1,48,28,1,48,0,0,48,0,0,48,0,0,48,0,0,48,4,1,48,26,2,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0
0,Adam Forshaw,Leeds,MID,50,0,0,50,0,0,49,0,0,49,0,0,49,0,0,49,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0,48,0,0
0,Adam Lallana,Brighton,MID,65,44,1,65,12,1,64,73,2,64,24,1,63,77,2,63,60,3,63,90,2,62,90,3,62,45,4,62,8,1,62,0,0,62,0,0,62,85,3,62,90,2,62,45,1,62,0,0,62,21,1,62,0,0,62,0,0,62,0,0,62,11,1,62,23,1,62,15,1,62,28,1,62,22,1,62,45,1,62,90,9,62,90,2,62,90,3,62,87,2,62,90,3,62,30,1,62,90,2,62,0,0,62,0,0,62,23,1,62,41,1,62,45,1
0,Adam Webster,Brighton,DEF,45,90,1,45,90,6,45,90,1,45,90,0,45,90,2,45,90,1,45,90,1,44,90,6,44,90,2,44,90,2,44,90,1,44,0,0,44,90,6,44,90,2,44,90,1,44,90,2,44,90,1,44,90,1,44,90,5,44,90,6,44,90,6,44,90,6,44,74,2,44,0,0,44,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,0,0,43,90,6,43,90,2,43,90,6,43,90,1,43,90,2,43,90,6,43,90,1
