id,name,position,team,kickoff_time,value,was_home,opponent,gameweek,season,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,Fábio Ferreira Vieira,MID,Arsenal,16,54,False,Man Utd,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1115.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
2,Gabriel Fernando de Jesus,FWD,Arsenal,16,65,False,Man Utd,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,132825.66666666666,0.0,0.0,-6991.333333333333,85.0,7076.333333333333,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
3,Gabriel dos Santos Magalhães,DEF,Arsenal,16,63,False,Man Utd,28,2024-25,0.0,0.3333333333333333,21.666666666666668,0.6666666666666666,7.633333333333334,0.3333333333333333,0.0,2.933333333333333,16.466666666666665,90.0,0.0,0,0,0.0,0.0,3301666.3333333335,5.0,5.0,64403.333333333336,123308.0,58904.666666666664,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
4,Kai Havertz,FWD,Arsenal,16,78,False,Man Utd,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,743036.6666666666,0.0,0.0,-48806.666666666664,20331.0,69137.66666666667,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
5,Karl Hein,GKP,Arsenal,16,40,False,Man Utd,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2887.0,0.0,0.0,-21.333333333333332,0.0,21.333333333333332,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
6,Jurriën Timber,DEF,Arsenal,16,56,False,Man Utd,28,2024-25,0.0,0.0,21.0,0.6666666666666666,9.066666666666666,0.3333333333333333,0.0,3.1999999999999997,15.933333333333332,88.0,0.0,0,0,0.0,0.0,505499.6666666667,6.666666666666667,4.666666666666667,3868.3333333333335,24491.666666666668,20623.333333333332,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
7,Jorge Luiz Frello Filho,MID,Arsenal,16,47,False,Man Utd,28,2024-25,0.0,0.0,2.0,0.3333333333333333,1.7,0.0,0.0,0.3,0.5333333333333333,28.0,0.0,0,0,0.0,0.0,25151.333333333332,0.6666666666666666,1.0,-256.0,331.3333333333333,587.3333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333
8,Jakub Kiwior,DEF,Arsenal,16,48,False,Man Utd,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19144.666666666668,0.0,0.0,-146.66666666666666,279.0,425.6666666666667,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
9,Gabriel Martinelli Silva,MID,Arsenal,16,66,False,Man Utd,28,2024-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,252338.0,0.0,0.0,-50251.333333333336,5500.333333333333,55751.666666666664,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
12,Ethan Nwaneri,MID,Arsenal,16,46,False,Man Utd,28,2024-25,0.3333333333333333,1.0,22.0,0.6666666666666666,24.200000000000003,0.3333333333333333,0.0,6.933333333333334,19.599999999999998,82.0,0.0,0,0,0.0,0.0,365982.3333333333,25.666666666666668,4.666666666666667,136068.0,152351.33333333334,16283.333333333334,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
13,Martin Ødegaard,MID,Arsenal,16,82,False,Man Utd,28,2024-25,0.0,0.0,14.333333333333334,0.6666666666666666,37.06666666666666,0.3333333333333333,0.0,5.5,10.933333333333332,88.0,0.0,0,0,0.0,0.0,567046.3333333334,7.0,2.6666666666666665,4234.666666666667,27621.333333333332,23386.666666666668,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
15,David Raya Martin,GKP,Arsenal,16,55,False,Man Utd,28,2024-25,0.0,0.3333333333333333,22.333333333333332,0.6666666666666666,0.13333333333333333,0.3333333333333333,0.0,1.6666666666666667,16.4,90.0,0.0,0,0,0.0,1.6666666666666667,2964494.0,0.0,5.0,9116.333333333334,61071.0,51954.666666666664,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
16,Declan Rice,MID,Arsenal,16,62,False,Man Utd,28,2024-25,0.0,0.0,13.333333333333334,0.6666666666666666,31.166666666666668,0.3333333333333333,0.0,5.433333333333333,16.46666666666667,78.33333333333333,0.0,0,0,0.0,0.0,308087.6666666667,6.666666666666667,2.3333333333333335,4289.333333333333,13189.0,8899.666666666666,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
