id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,19,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,-2,1112,0,2,Fábio Ferreira Vieira,MID,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1117.6666666666667,0.0,0.0,-5.0,0.0,5.0,0.0,2.3333333333333335,0.6666666666666666,2.0
2,0,False,19,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,65,-3046,129167,42,3088,Gabriel Fernando de Jesus,FWD,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,139485.0,0.0,0.0,-15208.666666666666,93.66666666666667,15302.333333333334,0.0,2.3333333333333335,0.6666666666666666,2.0
3,7,False,19,27,False,90,0,0,1,0,0,0,0,0,0,0,1,27,21.2,4.8,0.0,2.6,0,0,0,0,0,0,0,63,-62402,3310123,41000,103402,Gabriel dos Santos Magalhães,DEF,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,16.333333333333332,0.3333333333333333,7.033333333333334,0.6666666666666666,0.0,2.8333333333333335,14.466666666666663,90.0,0.0,0,0,0.0,0.0,3220018.3333333335,6.666666666666667,3.3333333333333335,32653.333333333332,125441.0,92787.66666666667,0.0,2.3333333333333335,0.6666666666666666,2.0
4,0,False,19,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,78,-23798,704116,101,23899,Kai Havertz,FWD,Arsenal,Nott'm Forest,2024-25,0,0,1,0.3333333333333333,1.0,14.666666666666666,0.0,4.8999999999999995,0.3333333333333333,0.3333333333333333,3.5,18.466666666666665,29.666666666666668,0.0,0,0,0.0,0.0,789531.3333333334,11.666666666666666,4.0,-64754.333333333336,22631.666666666668,87386.0,0.0,2.3333333333333335,0.6666666666666666,2.0
5,0,False,19,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,-11,2873,0,11,Karl Hein,GKP,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2907.6666666666665,0.0,0.0,-24.666666666666668,0.0,24.666666666666668,0.0,2.3333333333333335,0.6666666666666666,2.0
6,6,False,19,27,False,84,0,0,1,0,0,0,0,0,0,0,0,26,14.8,1.8,12.0,2.9,0,0,0,0,0,0,0,56,-21504,498871,7382,28886,Jurriën Timber,DEF,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,12.333333333333334,0.3333333333333333,9.066666666666668,0.6666666666666666,0.0,3.0,13.0,90.0,0.0,0,0,0.0,0.0,498587.3333333333,7.666666666666667,3.0,-6581.0,25789.333333333332,32370.333333333332,0.3333333333333333,2.3333333333333335,0.6666666666666666,2.0
7,3,False,19,27,False,69,0,0,1,0,0,0,0,0,0,0,0,7,1.0,4.8,2.0,0.8,0,0,0,0,0,0,0,47,-242,24986,192,434,Jorge Luiz Frello Filho,MID,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,-0.3333333333333333,0.0,0.09999999999999999,0.0,0.0,0.03333333333333333,0.19999999999999998,5.0,0.0,0,0,0.0,0.0,25295.333333333332,0.0,0.0,-224.66666666666666,470.6666666666667,695.3333333333334,0.3333333333333333,2.3333333333333335,0.6666666666666666,2.0
8,0,False,19,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,48,-181,19090,138,319,Jakub Kiwior,DEF,Arsenal,Nott'm Forest,2024-25,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19100.333333333332,0.0,0.0,-230.33333333333334,303.6666666666667,534.0,0.0,2.3333333333333335,0.6666666666666666,2.0
9,0,False,19,27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,66,-17537,226470,46,17583,Gabriel Martinelli Silva,MID,Arsenal,Nott'm Forest,2024-25,0,0,1,0.3333333333333333,0.0,5.0,0.0,7.433333333333334,0.3333333333333333,0.0,2.3000000000000003,7.733333333333333,30.0,0.0,0,0,0.0,0.0,301350.3333333333,7.666666666666667,1.6666666666666667,-57856.333333333336,9558.0,67414.33333333333,0.0,2.3333333333333335,0.6666666666666666,2.0
12,3,False,19,27,False,76,0,0,1,0,0,0,0,0,0,0,0,16,7.8,13.4,17.0,3.8,0,0,0,0,0,0,0,46,1790,475173,41774,39984,Ethan Nwaneri,MID,Arsenal,Nott'm Forest,2024-25,0,0,1,0.3333333333333333,1.0,24.666666666666668,0.3333333333333333,24.633333333333336,0.3333333333333333,0.3333333333333333,7.633333333333333,29.53333333333333,58.666666666666664,0.0,0,0,0.0,0.0,229518.33333333334,22.333333333333332,5.666666666666667,140318.33333333334,144269.33333333334,3951.0,0.0,2.3333333333333335,0.6666666666666666,2.0
