id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,16,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-53,1260,0,53,Fábio Ferreira Vieira,MID,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.6666666666667,0.0,0.0,-119.66666666666667,0.0,119.66666666666667,0.0,3.0,1.6666666666666667,2.3333333333333335
2,1,False,16,8,False,10,0,0,0,0,0,0,0,0,0,0,0,8,1.0,0.4,6.0,0.7,68,1340,103246,7657,6317,Gabriel Fernando de Jesus,FWD,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,5.333333333333333,0.0,10.5,0.6666666666666666,0.0,2.6,4.6000000000000005,21.0,0.0,0.0,0.0,0.0,0.0,94231.66666666667,11.0,0.6666666666666666,727.6666666666666,8393.333333333334,7665.666666666667,0.3333333333333333,3.0,1.6666666666666667,2.3333333333333335
3,1,False,16,8,False,90,0,0,0,2,0,0,0,0,0,0,0,5,21.6,1.1,5.0,2.8,62,128228,2960806,194032,65804,Gabriel dos Santos Magalhães,DEF,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,9.0,0.0,3.9333333333333336,1.6666666666666667,0.3333333333333333,6.833333333333333,26.933333333333334,90.0,0.0,0.0,0.0,0.0,0.0,2211090.0,37.666666666666664,3.3333333333333335,488969.3333333333,530814.6666666666,41845.333333333336,0.0,3.0,1.6666666666666667,2.3333333333333335
4,2,False,16,8,False,90,0,0,0,2,0,0,0,0,0,0,0,4,3.6,3.3,10.0,1.7,83,-176824,1980343,105725,282549,Kai Havertz,FWD,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.6666666666666666,22.333333333333332,0.0,7.8,1.6666666666666667,0.6666666666666666,10.366666666666667,29.400000000000002,90.0,0.0,0.0,0.0,0.0,0.0,1952276.3333333333,66.33333333333333,5.333333333333333,98814.33333333333,273853.0,175038.66666666666,0.0,3.0,1.6666666666666667,2.3333333333333335
5,0,False,16,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-142,4010,0,142,Karl Hein,GKP,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4382.333333333333,0.0,0.0,-246.33333333333334,0.0,246.33333333333334,0.0,3.0,1.6666666666666667,2.3333333333333335
6,0,False,16,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-38435,170817,2736,41171,Jurriën Timber,DEF,Arsenal,Bournemouth,2024-25,0,2,0,0.3333333333333333,0.0,9.333333333333334,0.0,27.599999999999998,1.0,0.0,5.033333333333333,19.2,60.0,0.0,0.0,0.0,0.0,0.0,171117.0,3.6666666666666665,2.0,30691.333333333332,51927.333333333336,21236.0,0.0,3.0,1.6666666666666667,2.3333333333333335
7,0,False,16,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-353,27223,1293,1646,Jorge Luiz Frello Filho,MID,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,5.666666666666667,0.0,6.5,0.3333333333333333,0.0,0.8333333333333334,1.3333333333333333,20.0,0.0,0.0,0.0,0.0,0.0,28084.666666666668,0.3333333333333333,0.6666666666666666,-1059.3333333333333,1767.6666666666667,2827.0,0.0,3.0,1.6666666666666667,2.3333333333333335
8,0,False,16,8,False,43,0,0,0,2,0,0,0,0,0,0,0,-4,3.0,0.2,0.0,0.3,48,-679,16198,557,1236,Jakub Kiwior,DEF,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,0.6666666666666666,0.0,0.09999999999999999,0.3333333333333333,0.0,0.26666666666666666,2.533333333333333,5.666666666666667,0.0,0.0,0.0,0.0,0.0,15685.333333333334,0.0,0.6666666666666666,-175.66666666666666,988.0,1163.6666666666667,0.0,3.0,1.6666666666666667,2.3333333333333335
9,1,False,16,8,False,26,0,0,0,2,0,0,0,0,0,0,0,-5,2.0,2.7,21.0,2.6,70,-3384,457823,74381,77765,Gabriel Martinelli Silva,MID,Arsenal,Bournemouth,2024-25,0,2,0,0.6666666666666666,1.0,28.0,0.0,19.166666666666668,1.0,0.6666666666666666,9.033333333333333,37.666666666666664,63.0,0.0,0.0,0.0,0.0,0.0,302203.0,33.666666666666664,8.0,77119.0,98635.33333333333,21516.333333333332,0.0,3.0,1.6666666666666667,2.3333333333333335
12,1,False,16,8,False,9,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.7,0.0,0.1,45,-1503,32334,1958,3461,Ethan Nwaneri,MID,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,2.0,0.0,3.6666666666666665,0.0,0.0,1.0666666666666667,2.066666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,30420.0,5.0,0.3333333333333333,1950.0,5105.666666666667,3155.6666666666665,0.0,3.0,1.6666666666666667,2.3333333333333335
13,0,False,16,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-25049,356663,320,25369,Martin Ødegaard,MID,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447879.3333333333,0.0,0.0,-116999.0,500.0,117499.0,0.0,3.0,1.6666666666666667,2.3333333333333335
15,1,False,16,8,False,90,0,0,0,2,0,0,0,0,0,2,0,0,11.8,0.0,0.0,1.2,57,54012,3429779,128397,74385,David Raya Martin,GKP,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,9.333333333333334,0.0,0.0,1.6666666666666667,0.0,2.733333333333334,27.266666666666666,90.0,0.0,0.0,0.0,0.0,3.6666666666666665,3154052.0,0.0,2.3333333333333335,129014.66666666667,280820.3333333333,151805.66666666666,0.0,3.0,1.6666666666666667,2.3333333333333335
16,2,False,16,8,False,90,0,0,0,2,0,0,0,0,0,0,0,20,21.6,35.8,4.0,6.1,63,-5638,303186,11664,17302,Declan Rice,MID,Arsenal,Bournemouth,2024-25,0,2,0,0.0,0.0,13.0,0.0,28.166666666666668,1.6666666666666667,0.0,5.5,15.799999999999999,90.0,0.0,0.0,0.0,0.0,0.0,304757.6666666667,10.666666666666666,1.6666666666666667,-6129.666666666667,14509.0,20638.666666666668,0.3333333333333333,3.0,1.6666666666666667,2.3333333333333335
17,0,False,16,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,101,1260,3514644,275043,273783,Bukayo Saka,MID,Arsenal,Bournemouth,2024-25,0,2,0,1.0,1.3333333333333333,41.0,0.0,77.7,1.3333333333333333,0.3333333333333333,16.966666666666665,47.13333333333333,75.0,0.0,0.0,0.0,0.0,0.0,3322684.6666666665,45.0,7.666666666666667,113468.0,322685.0,209217.0,0.0,3.0,1.6666666666666667,2.3333333333333335
