id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,17,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-5,1143,0,5,Fábio Ferreira Vieira,MID,Arsenal,Brighton,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1154.3333333333333,0.0,0.0,-6.333333333333333,0.0,6.333333333333333,0.0,3.0,0.6666666666666666,3.0
2,2,False,17,20,False,90,0,0,0,1,0,0,0,0,0,0,0,1,7.6,27.1,34.0,6.9,69,271858,1046339,354779,82921,Gabriel Fernando de Jesus,FWD,Arsenal,Brighton,2024-25,1,1,1,0.6666666666666666,2.0,38.333333333333336,0.3333333333333333,9.3,0.6666666666666666,1.0,9.133333333333333,40.06666666666667,82.0,0,0.0,0.0,0.0,0.0,561857.0,42.0,10.0,217792.66666666666,254774.66666666666,36982.0,0.0,3.0,0.6666666666666666,3.0
3,2,False,17,20,False,90,0,0,0,1,0,0,0,0,0,0,0,9,10.2,2.2,0.0,1.2,64,72395,3233511,158836,86441,Gabriel dos Santos Magalhães,DEF,Arsenal,Brighton,2024-25,1,1,1,0.3333333333333333,0.0,15.333333333333334,0.3333333333333333,15.100000000000001,0.6666666666666666,0.0,4.533333333333333,20.799999999999997,90.0,0,0.0,0.0,0.0,0.0,2962044.3333333335,9.333333333333334,4.0,230574.33333333334,254264.66666666666,23690.333333333332,0.3333333333333333,3.0,0.6666666666666666,3.0
4,0,False,17,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,-128490,1013787,35788,164278,Kai Havertz,FWD,Arsenal,Brighton,2024-25,1,1,1,0.0,1.0,22.333333333333332,0.3333333333333333,11.4,0.3333333333333333,0.6666666666666666,7.266666666666667,28.133333333333336,49.0,0,0.0,0.0,0.0,0.0,1111992.0,33.0,4.333333333333333,2108.6666666666665,60258.666666666664,58150.0,0.3333333333333333,3.0,0.6666666666666666,3.0
5,0,False,17,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-63,3045,0,63,Karl Hein,GKP,Arsenal,Brighton,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3184.0,0.0,0.0,-77.33333333333333,0.0,77.33333333333333,0.0,3.0,0.6666666666666666,3.0
6,0,False,17,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-215865,656551,35909,251774,Jurriën Timber,DEF,Arsenal,Brighton,2024-25,1,1,1,0.0,1.0,16.0,0.3333333333333333,11.033333333333331,0.6666666666666666,0.0,3.266666666666667,15.666666666666666,88.33333333333333,0,0.0,0.0,0.0,0.0,856334.3333333334,5.666666666666667,3.6666666666666665,36493.0,71595.66666666667,35102.666666666664,0.6666666666666666,3.0,0.6666666666666666,3.0
7,2,False,17,20,False,63,0,0,0,1,0,0,0,0,0,0,0,16,4.4,14.6,0.0,1.9,47,-273,25497,786,1059,Jorge Luiz Frello Filho,MID,Arsenal,Brighton,2024-25,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.19999999999999998,0.6666666666666666,0,0.0,0.0,0.0,0.0,25917.333333333332,0.0,0.3333333333333333,-417.3333333333333,704.3333333333334,1121.6666666666667,0.0,3.0,0.6666666666666666,3.0
8,0,False,17,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1238,20135,497,1735,Jakub Kiwior,DEF,Arsenal,Brighton,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22887.666666666668,0.0,0.0,-2615.0,786.6666666666666,3401.6666666666665,0.0,3.0,0.6666666666666666,3.0
9,1,False,17,20,False,45,0,0,0,1,0,0,0,0,0,0,0,2,3.6,4.3,6.0,1.4,68,94407,568190,131701,37294,Gabriel Martinelli Silva,MID,Arsenal,Brighton,2024-25,1,1,1,0.0,0.6666666666666666,23.333333333333332,0.3333333333333333,31.46666666666667,0.6666666666666666,0.6666666666666666,10.066666666666668,34.0,90.0,0,0.0,0.0,0.0,0.0,398307.3333333333,35.333333333333336,6.333333333333333,60292.0,81688.66666666667,21396.666666666668,0.0,3.0,0.6666666666666666,3.0
12,6,False,17,20,False,45,1,0,0,0,0,0,0,1,0,0,1,22,34.0,1.3,17.0,5.2,45,12021,58141,17289,5268,Ethan Nwaneri,MID,Arsenal,Brighton,2024-25,1,1,1,0.0,0.0,4.0,0.0,11.633333333333333,0.3333333333333333,0.0,1.8666666666666665,3.266666666666667,27.0,0,0.0,0.0,0.0,0.0,45984.666666666664,3.6666666666666665,1.0,-1386.6666666666667,3136.6666666666665,4523.333333333333,0.0,3.0,0.6666666666666666,3.0
