id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-174,1494,0,174,Fábio Ferreira Vieira,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.6666666666665,0.0,0.0,-605.3333333333334,146.33333333333334,751.6666666666666,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
2,0,False,15,5,False,3,0,0,0,1,0,0,0,1,0,0,0,3,10.0,0.0,0.0,1.0,68,1642,89599,7682,6040,Gabriel Fernando de Jesus,FWD,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,121811.33333333333,0.0,0.3333333333333333,-51357.0,5801.666666666667,57158.666666666664,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
3,7,False,15,5,False,90,1,0,0,2,0,0,0,0,0,0,0,15,56.6,0.8,40.0,9.7,60,131837,1375740,171534,39697,Gabriel dos Santos Magalhães,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,1.3333333333333333,27.333333333333332,0.6666666666666666,7.8,0.3333333333333333,0.3333333333333333,5.6000000000000005,33.4,90.0,0.0,0.0,0.0,0.0,0.0,1251003.6666666667,14.666666666666666,7.666666666666667,-46585.333333333336,61481.0,108066.33333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
4,2,False,15,5,False,90,0,0,0,2,0,0,0,0,0,0,0,8,15.0,0.0,17.0,3.2,81,-82509,1733362,108350,190859,Kai Havertz,FWD,Arsenal,Man City,2024-25,2,2,1,0.0,0.6666666666666666,13.666666666666666,0.6666666666666666,12.1,0.3333333333333333,0.3333333333333333,6.099999999999999,22.066666666666666,90.0,0.0,0.0,0.0,0.0,0.0,1732667.3333333333,27.0,4.0,113530.33333333333,320144.3333333333,206614.0,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
5,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-226,4663,0,226,Karl Hein,GKP,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5404.0,0.0,0.0,-810.3333333333334,0.0,810.3333333333334,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
6,2,False,15,5,False,90,0,0,0,1,0,0,0,0,0,0,0,3,12.0,0.0,0.0,1.2,55,13706,124508,23432,9726,Jurriën Timber,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,15.666666666666666,0.6666666666666666,5.466666666666668,0.3333333333333333,0.0,1.9666666666666668,9.866666666666667,82.33333333333333,0.0,0.0,0.0,0.0,0.0,95765.66666666667,4.333333333333333,4.0,2253.6666666666665,17240.0,14986.333333333334,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.3333333333333335
7,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-91,29155,2335,2426,Jorge Luiz Frello Filho,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.3333333333333333,0.6,0.0,0.0,0.06666666666666667,0.13333333333333333,30.0,0.0,0.0,0.0,0.0,0.0,28069.666666666668,0.0,0.6666666666666666,-2921.6666666666665,3548.0,6469.666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
8,1,False,15,5,False,16,0,0,0,1,0,0,0,0,0,0,0,-1,5.2,0.0,0.0,0.5,49,-747,15120,390,1137,Jakub Kiwior,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16139.333333333334,0.0,0.0,-2440.6666666666665,736.0,3176.6666666666665,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
9,5,False,15,5,False,86,0,1,0,1,0,0,0,0,0,0,0,18,25.2,25.0,4.0,5.4,69,-14687,190107,6790,21477,Gabriel Martinelli Silva,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,9.666666666666666,0.6666666666666666,17.46666666666667,0.0,0.0,4.066666666666666,9.733333333333334,53.0,0.0,0.0,0.0,0.0,0.0,241817.33333333334,13.666666666666666,2.3333333333333335,-34298.333333333336,17208.0,51506.333333333336,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
12,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1086,28148,3531,2445,Ethan Nwaneri,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,1.6666666666666667,0.0,0.13333333333333333,0.0,0.0,0.3,2.733333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,22860.0,0.0,0.3333333333333333,695.0,4774.333333333333,4079.3333333333335,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
13,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-193840,533452,864,194704,Martin Ødegaard,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,4.333333333333333,0.3333333333333333,17.0,0.3333333333333333,0.0,3.866666666666667,6.466666666666666,54.333333333333336,0.0,0.0,0.0,0.0,0.0,1103277.0,15.0,1.3333333333333333,-282125.3333333333,32538.333333333332,314663.6666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
15,4,False,15,5,False,90,0,0,0,2,0,0,0,0,0,9,0,21,63.0,0.0,0.0,6.3,55,76246,2945014,157350,81104,David Raya Martin,GKP,Arsenal,Man City,2024-25,2,2,1,0.0,1.6666666666666667,22.666666666666668,0.6666666666666666,0.0,0.3333333333333333,0.0,3.433333333333333,34.266666666666666,90.0,0.0,0.0,0.0,0.0,3.6666666666666665,2688767.6666666665,0.0,7.0,58518.0,213825.0,155307.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
16,1,False,15,5,False,90,0,0,0,2,0,0,0,1,0,0,0,2,16.6,1.0,2.0,2.0,63,-11880,301888,8900,20780,Declan Rice,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,2.6666666666666665,0.3333333333333333,4.666666666666667,0.3333333333333333,0.0,1.7666666666666666,6.266666666666667,46.0,0.0,0.0,0.0,0.3333333333333333,0.0,463964.0,9.0,0.0,-111668.66666666667,15936.666666666666,127605.33333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
17,4,False,15,5,False,45,0,1,0,1,0,0,0,0,0,0,0,19,18.6,28.8,0.0,4.7,100,-162362,2931215,93151,255513,Bukayo Saka,MID,Arsenal,Man City,2024-25,2,2,1,1.0,0.6666666666666666,22.333333333333332,0.6666666666666666,27.866666666666664,0.3333333333333333,0.0,10.033333333333333,29.866666666666664,87.33333333333333,0.0,0.0,0.0,0.0,0.0,3243238.0,42.666666666666664,6.333333333333333,-44136.0,270860.3333333333,314996.3333333333,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
18,1,False,15,5,False,90,0,0,0,2,0,0,0,0,0,0,0,7,24.2,0.3,0.0,2.5,60,-106785,3663934,39461,146246,William Saliba,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,18.666666666666668,0.6666666666666666,0.9666666666666667,0.3333333333333333,0.0,1.9666666666666668,18.0,90.0,0.0,0.0,0.0,0.0,0.0,3820407.3333333335,0.6666666666666666,4.333333333333333,-110756.33333333333,117752.0,228508.33333333334,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
20,1,False,15,5,False,90,0,0,0,2,0,0,0,1,0,0,0,11,14.0,2.3,2.0,1.8,50,-1790,152967,15118,16908,Thomas Partey,MID,Arsenal,Man City,2024-25,2,2,1,0.0,1.0,15.666666666666666,0.6666666666666666,3.633333333333333,0.3333333333333333,0.3333333333333333,3.1999999999999997,25.46666666666667,90.0,0.0,0.0,0.0,0.0,0.0,104943.66666666667,2.6666666666666665,5.0,34733.333333333336,54517.0,19783.666666666668,0.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
21,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-178,2761,41,219,Kieran Tierney,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3356.0,0.0,0.0,-961.3333333333334,86.33333333333333,1047.6666666666667,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
22,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-276,3893,49,325,Tomiyasu Takehiro,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4829.0,0.0,0.0,-1588.3333333333333,84.0,1672.3333333333333,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
23,-2,False,15,5,False,52,0,0,0,2,0,0,0,0,1,0,0,-10,0.0,0.0,4.0,0.0,69,-10267,179003,9272,19539,Leandro Trossard,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.3333333333333333,16.333333333333332,0.3333333333333333,12.299999999999999,0.3333333333333333,0.3333333333333333,4.733333333333333,17.466666666666665,54.0,0.0,0.0,0.0,0.0,0.0,184860.0,17.333333333333332,3.6666666666666665,-15226.333333333334,23368.0,38594.333333333336,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
24,1,False,15,5,False,45,0,0,0,1,0,0,0,0,0,0,0,3,15.4,0.1,0.0,1.6,65,-38812,828404,10298,49110,Benjamin White,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,18.0,0.6666666666666666,3.1666666666666665,0.3333333333333333,0.0,2.0,13.799999999999999,90.0,0.0,0.0,0.0,0.0,0.0,927757.3333333334,3.0,4.666666666666667,-60713.333333333336,27871.0,88584.33333333333,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
25,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-44677,184385,1173,45850,Oleksandr Zinchenko,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,268225.6666666667,0.0,0.3333333333333333,-26070.333333333332,24146.333333333332,50216.666666666664,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
73,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-23075,154013,1110,24185,Norberto Murara Neto,GKP,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,4.333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0333333333333334,10.266666666666667,30.0,0.0,0.0,0.0,0.0,1.3333333333333333,212639.0,0.0,1.0,-20552.666666666668,16956.333333333332,37509.0,0.0,1.0,0.6666666666666666,1.6666666666666667
186,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-5559,121288,3783,9342,Raheem Sterling,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,129267.0,0.6666666666666666,0.3333333333333333,-20948.0,9009.0,29957.0,0.0,2.6666666666666665,1.0,2.3333333333333335
578,9,False,15,5,False,73,1,0,0,1,0,0,0,0,0,0,1,24,45.0,0.3,9.0,5.4,58,-17275,134546,649,17924,Riccardo Calafiori,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,1.6666666666666667,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.7999999999999999,14.0,0.0,0.0,0.0,0.0,0.0,178809.0,0.0,0.6666666666666666,-39092.0,4002.6666666666665,43094.666666666664,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
597,0,False,15,5,False,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45,-7,5623,431,438,Myles Lewis-Skelly,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4522.0,0.0,0.0,248.33333333333334,1068.3333333333333,820.0,0.0,1.3333333333333333,0.3333333333333333,2.3333333333333335
633,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-69,645,79,148,Mikel Merino,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.5,0.0,0.0,151.0,742.5,591.5,0.0,1.0,0.5,2.0
638,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,64,1103,238,174,Salah-Eddine Oulad M'hand,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.5,0.0,0.0,279.0,382.5,103.5,0.0,1.0,0.5,2.0
639,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,22,1262,153,131,Tommy Setford,GKP,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.5,0.0,0.0,79.0,119.0,40.0,0.0,1.0,0.5,2.0
657,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1005,1719,1170,165,Maldini Kacurri,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
658,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,634,1206,736,102,Ayden Heaven,DEF,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
659,0,False,15,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,226,320,280,54,Ismeal Kabia,MID,Arsenal,Man City,2024-25,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
28,1,True,14,5,False,45,0,0,0,0,0,0,0,0,0,0,0,7,3.6,17.4,19.0,4.0,64,-21993,142911,4702,26695,Leon Bailey,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,3.6666666666666665,0.0,5.0,0.6666666666666666,0.0,1.5333333333333332,4.866666666666666,35.0,0.0,0.0,0.0,0.0,0.0,262922.0,5.666666666666667,1.0,-65039.333333333336,27535.666666666668,92575.0,0.0,1.6666666666666667,1.6666666666666667,2.0
29,0,True,14,5,False,28,0,0,0,0,0,0,0,1,0,0,0,-3,6.6,1.3,2.0,1.0,53,-1926,49799,1745,3671,Ross Barkley,MID,Aston Villa,Wolves,2024-25,3,1,3,0.3333333333333333,0.0,8.333333333333334,0.0,9.666666666666666,0.6666666666666666,0.0,2.066666666666667,8.466666666666667,29.0,0.0,0.0,0.0,0.0,0.0,59559.666666666664,2.6666666666666665,2.0,-11844.666666666666,2196.3333333333335,14041.0,0.0,1.6666666666666667,1.6666666666666667,2.0
30,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-410,2950,0,410,Enzo Barrenechea,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4520.333333333333,0.0,0.0,-1015.6666666666666,290.6666666666667,1306.3333333333333,0.0,1.6666666666666667,1.6666666666666667,2.0
31,1,True,14,5,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.4,2.0,0.3,54,-418,10052,439,857,Emiliano Buendía Stati,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,1.0,0.0,0.13333333333333333,0.0,0.0,0.03333333333333333,0.19999999999999998,2.0,0.0,0.0,0.0,0.0,0.0,11227.666666666666,0.0,0.3333333333333333,-1732.6666666666667,714.0,2446.6666666666665,0.0,1.6666666666666667,1.6666666666666667,2.0
32,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-22400,143366,372,22772,Matty Cash,DEF,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09999999999999999,0.19999999999999998,5.0,0.0,0.0,0.0,0.0,0.0,236805.66666666666,0.6666666666666666,0.3333333333333333,-49801.666666666664,12880.333333333334,62682.0,0.0,1.6666666666666667,1.6666666666666667,2.0
33,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11532,53665,0,11532,Leander Dendoncker,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.66666666667,0.0,0.0,-10003.333333333334,6062.333333333333,16065.666666666666,0.0,1.6666666666666667,1.6666666666666667,2.0
34,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,-105,2039,0,105,Moussa Diaby,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546.3333333333335,0.0,0.0,-966.6666666666666,0.0,966.6666666666666,0.0,1.6666666666666667,1.6666666666666667,2.0
35,2,True,14,5,False,90,0,0,0,1,0,0,0,0,0,0,0,7,20.0,1.9,0.0,2.2,45,131,39882,2294,2163,Diego Carlos Santos Silva,DEF,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48268.666666666664,0.0,0.0,-9039.0,2796.6666666666665,11835.666666666666,0.0,1.6666666666666667,1.6666666666666667,2.0
36,1,True,14,5,False,45,0,0,0,1,0,0,0,0,0,0,0,0,2.2,2.5,0.0,0.5,46,163695,830162,187411,23716,Lucas Digne,DEF,Aston Villa,Wolves,2024-25,3,1,3,0.6666666666666666,0.6666666666666666,19.0,0.0,25.233333333333334,1.3333333333333333,0.0,5.433333333333333,28.599999999999998,77.66666666666667,0.0,0.0,0.0,0.0,0.0,388362.3333333333,0.6666666666666666,4.333333333333333,128848.33333333333,168468.0,39619.666666666664,0.0,1.6666666666666667,1.6666666666666667,2.0
37,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-15,256,0,15,Lewis Dobbin,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.6666666666667,0.0,0.0,-69.33333333333333,0.0,69.33333333333333,0.0,1.6666666666666667,1.6666666666666667,2.0
38,5,True,14,5,False,28,1,0,0,0,0,0,0,0,0,0,0,26,32.0,0.8,21.0,5.4,61,233114,414473,257452,24338,Jhon Durán,FWD,Aston Villa,Wolves,2024-25,3,1,3,0.0,1.3333333333333333,18.333333333333332,0.0,2.3666666666666667,1.0,0.6666666666666666,4.466666666666667,21.666666666666668,25.0,0.0,0.0,0.0,0.0,0.0,102459.33333333333,20.666666666666668,4.666666666666667,34693.333333333336,53690.333333333336,18997.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0
39,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-764,88342,2994,3758,Joe Gauci,GKP,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77806.66666666667,0.0,0.0,6807.333333333333,12388.333333333334,5581.0,0.0,1.6666666666666667,1.6666666666666667,2.0
40,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1538,67919,2322,3860,Kortney Hause,DEF,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63015.333333333336,0.0,0.0,1021.6666666666666,7558.0,6536.333333333333,0.0,1.6666666666666667,1.6666666666666667,2.0
41,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-497,3176,0,497,Samuel Iling-Junior,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5225.0,0.0,0.0,-1655.0,114.0,1769.0,0.0,1.6666666666666667,1.6666666666666667,2.0
42,0,True,14,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16,348,32,48,Boubacar Kamara,MID,Aston Villa,Wolves,2024-25,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.6666666666667,0.0,0.0,-28.333333333333332,41.333333333333336,69.66666666666667,0.0,1.6666666666666667,1.6666666666666667,2.0
