id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,16,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-790,2321,84,874,Fábio Ferreira Vieira,MID,Arsenal,Aston Villa,2024-25,2,0,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2923,0,0,0,0,0,0,2,0,3
2,0,False,16,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-53975,176166,12170,66145,Gabriel Fernando de Jesus,FWD,Arsenal,Aston Villa,2024-25,2,0,3,0,0,1,0,0.8,0,0,0.1,0.2,5,0,0,0,0,0,199810,0,0,0,0,0,1,2,0,3
3,6,False,16,2,False,90,0,0,1,0,0,0,0,1,0,0,1,25,21.4,1.9,0.0,2.3,60,-25184,1248259,36723,61907,Gabriel dos Santos Magalhães,DEF,Arsenal,Aston Villa,2024-25,2,0,3,0,0,22,1,1.4,0,0,2.3,13.8,90,0,0,0,0,0,1167503,8,6,0,0,0,0,2,0,3
4,2,False,16,2,False,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,6.1,15.0,2.0,81,285826,1638743,350954,65128,Kai Havertz,FWD,Arsenal,Aston Villa,2024-25,2,0,3,1,3,48,1,24.1,0,1,12.5,54.8,90,0,0,0,0,0,1087445,46,12,0,0,0,0,2,0,3
5,0,False,16,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1230,6016,0,1230,Karl Hein,GKP,Arsenal,Aston Villa,2024-25,2,0,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7300,0,0,0,0,0,0,2,0,3
6,6,False,16,2,False,78,0,0,1,0,0,0,0,0,0,0,0,24,3.4,4.7,2.0,1.0,55,-7683,77673,4299,11982,Jurriën Timber,DEF,Arsenal,Aston Villa,2024-25,2,0,3,0,0,2,0,0.8,0,0,0.8,0.0,21,0,0,0,0,0,73714,8,1,0,0,0,0,2,0,3
7,0,False,16,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4149,28506,2615,6764,Jorge Luiz Frello Filho,MID,Arsenal,Aston Villa,2024-25,2,0,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,25861,0,0,0,0,0,0,2,0,3
8,0,False,16,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3242,17038,708,3950,Jakub Kiwior,DEF,Arsenal,Aston Villa,2024-25,2,0,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,16779,0,0,0,0,0,0,2,0,3
9,3,False,16,2,False,64,0,0,1,0,0,0,0,0,0,0,0,9,6.4,26.3,10.0,4.3,70,-12758,275265,21172,33930,Gabriel Martinelli Silva,MID,Arsenal,Aston Villa,2024-25,2,0,3,0,0,16,1,36.7,0,0,7.5,13.6,90,0,0,0,0,0,253825,25,3,0,0,0,0,2,0,3
12,0,False,16,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-452,20276,2466,2918,Ethan Nwaneri,MID,Arsenal,Aston Villa,2024-25,2,0,3,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,16484,0,0,0,0,0,0,2,0,3
13,2,False,16,2,False,90,0,0,1,0,0,0,0,1,0,0,0,4,9.4,34.2,20.0,6.4,85,-127842,1384608,28847,156689,Martin Ødegaard,MID,Arsenal,Aston Villa,2024-25,2,0,3,0,0,16,1,24.0,0,0,5.4,15.0,90,0,0,0,0,0,1391537,15,3,0,0,0,0,2,0,3
15,10,False,16,2,False,90,0,0,1,0,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,55,-16603,2377063,71675,88278,David Raya Martin,GKP,Arsenal,Aston Villa,2024-25,2,0,3,0,1,28,1,0.0,0,0,2.8,28.0,90,0,0,0,0,3,2143198,0,8,0,0,0,0,2,0,3
16,2,False,16,2,False,90,0,0,1,0,0,0,0,1,0,0,0,18,18.8,12.3,21.0,5.2,65,-44297,573607,25416,69713,Declan Rice,MID,Arsenal,Aston Villa,2024-25,2,0,3,0,0,9,1,13.4,0,0,2.8,6.6,84,0,0,0,0,0,552723,8,3,0,0,0,0,2,0,3
