id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,16,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,0,1112,0,0,Fábio Ferreira Vieira,MID,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1115.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
2,0,False,16,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,65,-3053,126191,62,3115,Gabriel Fernando de Jesus,FWD,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,132825.66666666666,0.0,0.0,-6991.333333333333,85.0,7076.333333333333,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
3,2,False,16,28,False,90,0,0,0,1,0,0,0,0,0,0,0,13,20.0,14.0,0.0,3.4,0,0,0,0,0,0,0,63,37674,3359159,91887,54213,Gabriel dos Santos Magalhães,DEF,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.3333333333333333,21.666666666666668,0.6666666666666666,7.633333333333334,0.3333333333333333,0.0,2.933333333333333,16.466666666666665,90.0,0.0,0,0,0.0,0.0,3301666.3333333335,5.0,5.0,64403.333333333336,123308.0,58904.666666666664,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
4,0,False,16,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,77,-16726,687549,162,16888,Kai Havertz,FWD,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,743036.6666666666,0.0,0.0,-48806.666666666664,20331.0,69137.66666666667,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
5,0,False,16,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,-21,2853,0,21,Karl Hein,GKP,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2887.0,0.0,0.0,-21.333333333333332,0.0,21.333333333333332,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
6,5,False,16,28,False,90,0,1,0,1,0,0,0,0,0,0,0,18,15.2,18.9,12.0,4.6,0,0,0,0,0,0,0,56,4987,506159,22252,17265,Jurriën Timber,DEF,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,21.0,0.6666666666666666,9.066666666666666,0.3333333333333333,0.0,3.1999999999999997,15.933333333333332,88.0,0.0,0,0,0.0,0.0,505499.6666666667,6.666666666666667,4.666666666666667,3868.3333333333335,24491.666666666668,20623.333333333332,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
7,0,False,16,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,47,-107,24973,235,342,Jorge Luiz Frello Filho,MID,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,2.0,0.3333333333333333,1.7,0.0,0.0,0.3,0.5333333333333333,28.0,0.0,0,0,0.0,0.0,25151.333333333332,0.6666666666666666,1.0,-256.0,331.3333333333333,587.3333333333334,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333
8,0,False,16,28,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,48,-147,19091,192,339,Jakub Kiwior,DEF,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,19144.666666666668,0.0,0.0,-146.66666666666666,279.0,425.6666666666667,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
9,1,False,16,28,False,32,0,0,0,0,0,0,0,0,0,0,0,-1,3.4,5.3,30.0,3.9,0,0,0,0,0,0,0,65,-11528,215047,64,11592,Gabriel Martinelli Silva,MID,Arsenal,Man Utd,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,252338.0,0.0,0.0,-50251.333333333336,5500.333333333333,55751.666666666664,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
12,1,False,16,28,False,57,0,0,0,1,0,0,0,0,0,0,0,-4,1.6,5.1,6.0,1.3,0,0,0,0,0,0,0,46,23131,499944,48974,25843,Ethan Nwaneri,MID,Arsenal,Man Utd,2024-25,1,1,1,0.3333333333333333,1.0,22.0,0.6666666666666666,24.200000000000003,0.3333333333333333,0.0,6.933333333333334,19.599999999999998,82.0,0.0,0,0,0.0,0.0,365982.3333333333,25.666666666666668,4.666666666666667,136068.0,152351.33333333334,16283.333333333334,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333
