id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
618,2,False,12,24,False,90,0,0,0,7,0,0,0,0,0,0,0,14,12.4,13.5,19.0,4.5,0,0,0,0,0,0,0,51,-3693,55492,2324,6017,Georginio Rutter,MID,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,16.666666666666668,0.0,7.966666666666666,0.0,0.6666666666666666,5.433333333333333,25.333333333333332,31.0,0.0,0,0,0.0,0.0,58494.0,21.0,4.333333333333333,-3953.6666666666665,3188.0,7141.666666666667,0.0,1.6666666666666667,0.6666666666666666,2.0
628,0,False,12,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,-526,11432,48,574,Ferdi Kadioglu,DEF,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,12654.333333333334,0.0,0.0,-973.0,35.0,1008.0,0.0,1.6666666666666667,0.6666666666666666,2.0
629,1,False,12,24,False,45,0,0,0,4,0,0,0,0,0,0,0,9,5.4,12.2,7.0,2.5,0,0,0,0,0,0,0,55,-253,4902,170,423,Matt O'Riley,MID,Brighton,Nott'm Forest,2024-25,0,7,0,0.3333333333333333,0.0,7.333333333333333,0.3333333333333333,9.1,0.0,0.0,1.8666666666666665,7.133333333333333,22.666666666666668,0.0,0,0,0.0,0.0,5328.0,2.6666666666666665,2.3333333333333335,-315.6666666666667,283.6666666666667,599.3333333333334,0.0,1.6666666666666667,0.6666666666666666,2.0
663,0,False,12,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,-206,3898,0,206,Imari Samuels,DEF,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,4408.666666666667,0.0,0.0,-196.33333333333334,83.0,279.3333333333333,0.0,1.6666666666666667,0.6666666666666666,2.0
668,0,False,12,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,39,-1899,136542,1368,3267,Killian Cahill,GKP,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,140285.33333333334,0.0,0.0,-2734.0,1555.0,4289.0,0.0,1.6666666666666667,0.6666666666666666,2.0
681,0,False,12,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,21,1915,120,99,Ruairi McConville,DEF,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1629.6666666666667,0.0,0.0,31.666666666666668,124.0,92.33333333333333,0.0,1.6666666666666667,0.6666666666666666,2.0
685,0,False,12,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,35,1798,131,96,Jacob Slater,DEF,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1487.3333333333333,0.0,0.0,35.666666666666664,123.33333333333333,87.66666666666667,0.0,1.6666666666666667,0.6666666666666666,2.0
714,1,False,12,24,False,45,0,0,0,4,0,0,0,0,0,0,0,11,7.6,3.6,0.0,1.1,0,0,0,0,0,0,0,55,28,802,146,118,Diego Gómez,MID,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,1.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0.0,0.0,326.0,0.0,0.3333333333333333,89.33333333333333,137.66666666666666,48.333333333333336,0.0,1.6666666666666667,0.6666666666666666,2.0
758,0,False,12,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,0,0,0,0,Joe Knight,MID,Brighton,Nott'm Forest,2024-25,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0,True,20,24,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,-1,304,0,1,Andrey Nascimento dos Santos,MID,Chelsea,West Ham,2024-25,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,308.0,0.0,0.0,-2.3333333333333335,0.0,2.3333333333333335,0.0,2.0,2.0,1.3333333333333333
