id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-18,1215,0,18,Fábio Ferreira Vieira,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.3333333333333,0.0,0.0,-27.0,0.0,27.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
2,1,False,16,11,False,9,0,0,0,0,0,0,0,0,0,0,0,1,0.8,1.0,0.0,0.2,68,-2957,97572,1427,4384,Gabriel Fernando de Jesus,FWD,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,3.0,0.0,0.9666666666666668,0.0,0.0,1.2,1.0,11.333333333333334,0.0,0.0,0.0,0.0,0.0,101114.33333333333,10.333333333333334,0.6666666666666666,-2139.6666666666665,3871.0,6010.666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
3,2,False,16,11,False,90,0,0,0,1,0,0,0,0,0,0,0,14,21.6,12.0,4.0,3.8,62,-93428,2339528,39875,133303,Gabriel dos Santos Magalhães,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,7.0,0.0,5.366666666666667,1.3333333333333333,0.0,2.233333333333333,14.533333333333333,77.66666666666667,0.0,0.0,0.0,0.0,0.0,2740137.3333333335,2.3333333333333335,1.3333333333333333,-136293.33333333334,111215.33333333333,247508.66666666666,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
4,1,False,16,11,False,90,0,0,0,1,0,0,0,1,0,0,0,2,12.0,13.2,2.0,2.7,80,-367479,1257354,10408,377887,Kai Havertz,FWD,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,3.6666666666666665,0.0,13.466666666666669,1.6666666666666667,0.0,2.8333333333333335,4.533333333333333,90.0,0.0,0.0,0.0,0.0,0.0,1791630.0,10.333333333333334,1.6666666666666667,-183368.0,60653.333333333336,244021.33333333334,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
5,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-91,3722,0,91,Karl Hein,GKP,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3918.3333333333335,0.0,0.0,-112.33333333333333,0.0,112.33333333333333,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
6,2,False,16,11,False,90,0,0,0,1,0,0,0,0,0,0,0,3,12.0,1.5,1.0,1.5,55,-5918,139504,7533,13451,Jurriën Timber,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,3.0,0.0,8.533333333333333,0.6666666666666666,0.0,1.7333333333333332,6.066666666666666,48.333333333333336,0.0,0.0,0.0,0.0,0.0,151416.66666666666,3.0,1.0,-22710.666666666668,7078.333333333333,29789.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
7,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1047,25557,384,1431,Jorge Luiz Frello Filho,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,-0.3333333333333333,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,26820.0,0.0,0.0,-567.0,925.3333333333334,1492.3333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
8,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-830,16531,288,1118,Jakub Kiwior,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,-1.6666666666666667,0.0,0.2333333333333333,1.0,0.0,0.3,2.8666666666666667,26.333333333333332,0.0,0.0,0.0,0.0,0.0,16522.333333333332,0.0,0.3333333333333333,-128.66666666666666,824.3333333333334,953.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
9,8,False,16,11,False,70,1,0,0,1,0,0,0,0,0,0,1,25,37.2,1.4,52.0,9.1,69,-60643,359318,10823,71466,Gabriel Martinelli Silva,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,2.0,0.0,7.266666666666667,1.6666666666666667,0.0,2.6999999999999997,4.133333333333334,56.666666666666664,0.0,0.0,0.0,0.0,0.0,433338.0,15.333333333333334,1.6666666666666667,-15993.0,51890.666666666664,67883.66666666667,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
12,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,974,35853,3683,2709,Ethan Nwaneri,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,2.3333333333333335,0.0,0.7333333333333334,0.0,0.0,0.3,0.4666666666666666,14.333333333333334,0.0,0.0,0.0,0.0,0.0,33228.0,1.6666666666666667,1.0,53.333333333333336,2578.6666666666665,2525.3333333333335,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
13,7,False,16,11,False,90,0,1,0,1,0,0,0,0,0,0,2,26,28.4,50.7,6.0,8.5,82,7071,349669,11410,4339,Martin Ødegaard,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348698.0,0.0,0.0,-13889.333333333334,380.3333333333333,14269.666666666666,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
15,2,False,16,11,False,90,0,0,0,1,0,0,0,0,0,2,0,17,20.2,0.0,0.0,2.0,56,-112081,3095312,20560,132641,David Raya Martin,GKP,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,4.333333333333333,0.0,0.0,1.6666666666666667,0.0,1.8333333333333333,18.066666666666666,90.0,0.0,0.0,0.0,0.0,2.3333333333333335,3296680.6666666665,0.0,1.3333333333333333,-63594.666666666664,61062.666666666664,124657.33333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
16,2,False,16,11,False,70,0,0,0,1,0,0,0,0,0,0,0,11,9.0,5.7,2.0,1.7,63,-20244,293833,4932,25176,Declan Rice,MID,Arsenal,Chelsea,2024-25,1,1,1,0.3333333333333333,0.0,18.333333333333332,0.0,37.266666666666666,1.6666666666666667,0.0,6.866666666666667,24.8,90.0,0.0,0.0,0.0,0.0,0.0,305411.0,6.666666666666667,3.0,-875.0,13017.666666666666,13892.666666666666,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
17,2,False,16,11,False,80,0,0,0,1,0,0,0,0,0,0,0,3,1.4,3.4,9.0,1.4,101,37774,2732842,170244,132470,Bukayo Saka,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.6666666666666666,13.0,0.0,8.1,1.0,0.3333333333333333,3.5333333333333337,13.799999999999999,58.0,0.0,0.0,0.0,0.0,0.0,2856064.3333333335,13.666666666666666,3.6666666666666665,-282319.3333333333,228232.33333333334,510551.6666666667,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
18,2,False,16,11,False,90,0,0,0,1,0,0,0,0,0,0,0,18,16.6,22.3,4.0,4.3,60,-81301,2368808,20567,101868,William Saliba,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,2.3333333333333335,0.0,0.9333333333333335,1.0,0.0,0.7999999999999999,6.266666666666667,39.666666666666664,0.0,0.0,0.0,0.3333333333333333,0.0,2758971.3333333335,0.6666666666666666,-0.3333333333333333,-340414.0,33692.0,374106.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
20,2,False,16,11,False,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,5.7,7.0,2.2,50,-9816,111149,2465,12281,Thomas Partey,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,14.666666666666666,0.0,11.966666666666667,1.6666666666666667,0.0,2.8666666666666667,15.533333333333333,88.33333333333333,0.0,0.0,0.0,0.0,0.0,128762.0,1.0,2.0,-10166.0,4262.666666666667,14428.666666666666,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
21,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-16,2368,46,62,Kieran Tierney,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2417.0,0.0,0.0,-53.0,37.333333333333336,90.33333333333333,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
22,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-100,4021,58,158,Tomiyasu Takehiro,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4364.666666666667,0.0,0.0,-56.333333333333336,244.33333333333334,300.6666666666667,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
23,1,False,16,11,False,19,0,0,0,0,0,0,0,0,0,0,0,1,1.4,11.3,11.0,2.4,69,-36080,221472,5217,41297,Leandro Trossard,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,6.333333333333333,0.3333333333333333,2.6,1.0,0.0,1.4666666666666668,5.266666666666667,74.33333333333333,0.0,0.0,0.0,0.0,0.0,279647.0,6.666666666666667,2.3333333333333335,-17799.333333333332,24845.0,42644.333333333336,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
24,1,False,16,11,False,90,0,0,0,1,0,0,0,1,0,0,0,6,18.2,12.9,8.0,3.9,62,-17374,425618,4130,21504,Benjamin White,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.3333333333333333,0.0,9.0,0.0,10.5,1.3333333333333333,0.0,2.766666666666667,15.866666666666665,66.33333333333333,0.0,0.0,0.0,0.0,0.0,452349.6666666667,1.3333333333333333,1.6666666666666667,-45841.0,7301.0,53142.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333
25,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1711,109869,1132,2843,Oleksandr Zinchenko,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,1.6666666666666667,0.0,0.7999999999999999,0.0,0.0,0.3,1.5333333333333332,9.666666666666666,0.0,0.0,0.0,0.0,0.0,111499.66666666667,0.6666666666666666,0.3333333333333333,-4323.666666666667,1005.3333333333334,5329.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
73,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-4356,111837,377,4733,Norberto Murara Neto,GKP,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120580.0,0.0,0.0,-8852.333333333334,654.6666666666666,9507.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
186,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-6113,99551,122,6235,Raheem Sterling,MID,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,0.6666666666666666,0.0,0.26666666666666666,0.0,0.0,0.39999999999999997,0.0,12.0,0.0,0.0,0.0,0.0,0.0,107669.66666666667,4.0,0.3333333333333333,-2841.3333333333335,1831.6666666666667,4673.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
578,0,False,16,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-21713,151207,153,21866,Riccardo Calafiori,DEF,Arsenal,Chelsea,2024-25,1,1,1,0.0,0.0,4.0,0.0,2.4,0.6666666666666666,0.0,1.1333333333333333,9.066666666666666,30.0,0.0,0.0,0.0,0.0,0.0,217133.66666666666,0.0,0.3333333333333333,-22351.666666666668,14513.666666666666,36865.333333333336,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333
