id,total_points,was_home,kickoff_time,gameweek,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,position,team,opponent,season,goals scored (team),goals conceded (team),result,assists_mean_last_3_gw,bonus_mean_last_3_gw,bps_mean_last_3_gw,clean_sheets_mean_last_3_gw,creativity_mean_last_3_gw,goals_conceded_mean_last_3_gw,goals_scored_mean_last_3_gw,ict_index_mean_last_3_gw,influence_mean_last_3_gw,minutes_mean_last_3_gw,own_goals_mean_last_3_gw,penalties_missed_mean_last_3_gw,penalties_saved_mean_last_3_gw,red_cards_mean_last_3_gw,saves_mean_last_3_gw,selected_mean_last_3_gw,threat_mean_last_3_gw,total_points_mean_last_3_gw,transfers_balance_mean_last_3_gw,transfers_in_mean_last_3_gw,transfers_out_mean_last_3_gw,yellow_cards_mean_last_3_gw,goals scored (team)_mean_last_3_gw,goals conceded (team)_mean_last_3_gw,result_mean_last_3_gw
1,0,False,17,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7,1195,0,7,Fábio Ferreira Vieira,MID,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.3333333333333,0.0,0.0,-13.333333333333334,0.0,13.333333333333334,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
2,1,False,17,13,False,16,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,6.0,0.7,68,-999,98296,1427,2426,Gabriel Fernando de Jesus,FWD,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,0.6666666666666666,0.3333333333333333,9.966666666666667,0.0,0.0,1.7666666666666666,2.4666666666666663,39.333333333333336,0.0,0.0,0.0,0.0,0.0,98206.0,5.333333333333333,1.0,-2922.3333333333335,1772.6666666666667,4695.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333
3,9,False,17,13,False,45,1,1,0,2,0,0,0,0,0,0,0,20,42.2,0.7,35.0,7.8,62,117627,2647421,193071,75444,Gabriel dos Santos Magalhães,DEF,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,15.666666666666666,0.3333333333333333,9.700000000000001,0.6666666666666666,0.0,3.0,16.8,90.0,0.0,0.0,0.0,0.0,0.0,2425615.0,3.3333333333333335,3.3333333333333335,-124618.0,97282.33333333333,221900.33333333334,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
4,6,False,17,13,False,90,1,0,0,2,0,0,0,0,0,0,0,28,31.4,4.7,24.0,6.0,79,-103897,1106101,20558,124455,Kai Havertz,FWD,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,2.0,0.0,8.333333333333334,0.6666666666666666,0.0,1.6000000000000003,5.866666666666667,60.0,0.0,0.0,0.0,0.0,0.0,1363732.6666666667,2.0,0.6666666666666666,-196986.33333333334,34872.666666666664,231859.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333
5,0,False,17,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-91,3535,0,91,Karl Hein,GKP,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3723.0,0.0,0.0,-98.33333333333333,0.0,98.33333333333333,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
6,1,False,17,13,False,90,0,0,0,2,0,0,0,0,0,0,0,5,10.6,1.8,44.0,5.6,55,89241,283945,97434,8193,Jurriën Timber,DEF,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,11.0,0.3333333333333333,12.766666666666666,0.6666666666666666,0.0,2.533333333333333,6.6000000000000005,82.33333333333333,0.0,0.0,0.0,0.0,0.0,158177.0,6.0,3.0,14226.333333333334,26440.666666666668,12214.333333333334,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333
7,2,False,17,13,False,90,0,0,0,2,0,0,0,0,0,0,0,15,12.2,3.6,2.0,1.8,47,-404,25012,456,860,Jorge Luiz Frello Filho,MID,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,0.6666666666666666,0.0,4.566666666666667,0.0,0.0,0.43333333333333335,0.0,16.333333333333332,0.0,0.0,0.0,0.0,0.0,25742.666666666668,0.0,0.0,-784.6666666666666,562.0,1346.6666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333
8,1,False,17,13,False,45,0,0,0,0,0,0,0,0,0,0,0,3,10.0,0.0,0.0,1.0,48,-233,16587,255,488,Jakub Kiwior,DEF,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,16783.333333333332,0.0,0.3333333333333333,-173.33333333333334,719.3333333333334,892.6666666666666,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
9,0,False,17,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-42930,375169,15443,58373,Gabriel Martinelli Silva,MID,Arsenal,West Ham,2024-25,5,2,3,0.0,0.3333333333333333,9.0,0.0,1.2333333333333332,0.6666666666666666,0.3333333333333333,3.5666666666666664,13.600000000000001,43.333333333333336,0.0,0.0,0.0,0.0,0.0,400131.0,20.666666666666668,3.3333333333333335,-5694.0,44387.666666666664,50081.666666666664,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
12,1,False,17,13,False,5,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.0,0.0,0.0,45,8265,44582,10796,2531,Ethan Nwaneri,MID,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,8.666666666666666,0.0,5.3,0.0,0.3333333333333333,2.5,11.799999999999999,12.333333333333334,0.0,0.0,0.0,0.0,0.0,35401.0,8.0,2.3333333333333335,778.3333333333334,3436.0,2657.6666666666665,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
13,8,False,17,13,False,73,1,0,0,2,0,0,0,0,0,0,1,38,45.8,23.8,24.0,9.4,82,69499,516517,82536,13037,Martin Ødegaard,MID,Arsenal,West Ham,2024-25,5,2,3,0.6666666666666666,0.6666666666666666,18.333333333333332,0.3333333333333333,39.4,0.3333333333333333,0.0,7.066666666666666,21.399999999999995,57.0,0.0,0.0,0.0,0.0,0.0,378287.0,10.0,4.333333333333333,27287.333333333332,33970.333333333336,6683.0,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
15,2,False,17,13,False,90,0,0,0,2,0,0,0,0,0,3,0,6,23.8,0.0,0.0,2.4,55,50220,3151164,86135,35915,David Raya Martin,GKP,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,16.666666666666668,0.3333333333333333,0.0,0.6666666666666666,0.0,1.5999999999999999,16.066666666666666,90.0,0.0,0.0,0.0,0.0,1.6666666666666667,3125756.6666666665,0.0,3.6666666666666665,-77329.0,38086.333333333336,115415.33333333333,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
16,2,False,17,13,False,90,0,0,0,2,0,0,0,0,0,0,0,14,16.8,39.9,2.0,5.9,62,-3886,273566,4103,7989,Declan Rice,MID,Arsenal,West Ham,2024-25,5,2,3,0.0,0.0,6.666666666666667,0.0,15.5,0.6666666666666666,0.0,3.0,9.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,294278.6666666667,5.333333333333333,1.3333333333333333,-10143.666666666666,8881.333333333334,19025.0,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333
